Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,The explanation describes the robot's actions/behaviors efficiently.,The explanation describes the robot's actions and situation completely​​​​​.,,I could see the reasons behind choosing this method (visual) for the explanation.
2,21,Female,Bosniak,Bosnia and Herzegovina ,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,3,5,5,4,5,4,4,,5
4,20,Female,Bosniak,Bosnia and Hercegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,3,4,4,4,4,3,,2
5,21,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student and devops intern,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,3,4,3,4,4,,5
8,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,N/A,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,4,,5
9,22,Male,Bosnia & Herzegovina,Bosnia & Herzegovina,High School,,Other,computer science and informatics,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,4,5,5,,5
10,23,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,5,5,4,4,3,,4
12,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
14,20,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
15,21,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,5,5,4,4,4,4,,3
16,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Computer science student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,4,4,3,,4
17,20,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,Bachelor Degree,Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,5,5,4,4,,5
18,19,Male,BiH,Bosnia and Herzegovina,High School,/,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,5,5,5,4,,4
