Response ID,Age,I consider myself an extrovert.,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I consider myself a technology enthusiast.,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total time
Somewhat disagree,25,Somewhat disagree,Male,German / Bosnian,Germany,Master Degree,,Healthcare,,Physician,Yes,No,No,Somewhat disagree,Yes,chair_8,chair_9,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,721.08
Strongly agree,27,Neutral,Male,Bosnian /Croatian,Germany,Master Degree,"M.Sc., Electrical Engineering, Automation and Safety, Automation and Control Engineering",Engineering,,Scientific Researcher at University,Yes,No,No,Somewhat agree,Yes,chair_8,chair_9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,221.55
6,26,Neutral,Female,BiH,BiH,Master Degree,,Engineering,,Project Manager,No,No,No,Somewhat agree,Yes,chair_8,chair_9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,594.11
7,36,Strongly disagree,Female,Egyptian ,Germany ,Master Degree,,Engineering,,Process Mining architect ,No,Yes,No,Strongly disagree,Yes,chair_8,chair_9,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Neutral,Neutral,642.46
9,40,Strongly disagree,Male,French,Germany ,Doctorate,,Engineering,,Thermal architecte,Yes,No,No,Strongly agree,Yes,chair_8,chair_9,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,241.03
10,35,Strongly agree,Male,B&H,Bosnia and Herzegovina,Master Degree,Industrial Automation Engineer,Engineering,,CEO,Yes,No,No,Neutral,Yes,table_3,chair_8,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,412.42
11,27,Somewhat agree,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,Master Degree,,Information Services,,Project Manager,Yes,No,No,Strongly agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Neutral,388.52
18,24,Somewhat agree,Female,Bosniak,Bosnia and Herzegovina,Master Degree,"Master of Electrical Engineering, Department of Computer Science and Informatics",Engineering,,Software Engineer,No,No,No,Somewhat agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,814.02
19,24,Somewhat disagree,Male,Indian,Germany,Bachelor Degree,,Other,Student,Student ,No,No,No,Neutral,Yes,chair_8,chair_9,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,256.06
22,23,Strongly disagree,Female,Indian ,Germany ,Bachelor Degree,,Other,N/A,N/A,No,No,No,Strongly agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neutral,509.01
