frame,amcl_position_x,amcl_position_y,amcl_orientation_z,amcl_orientation_w
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.294561,-6.258260,-0.844668,0.535290
map,-4.417673,-6.471069,-0.833471,0.552563
map,-4.417673,-6.471069,-0.833471,0.552563
map,-4.417673,-6.471069,-0.833471,0.552563
map,-4.417673,-6.471069,-0.833471,0.552563
map,-4.474534,-6.639644,-0.779304,0.626647
map,-4.474534,-6.639644,-0.779304,0.626647
map,-4.474534,-6.639644,-0.779304,0.626647
map,-4.474534,-6.639644,-0.779304,0.626647
map,-4.474534,-6.639644,-0.779304,0.626647
map,-4.507116,-6.881001,-0.725434,0.688292
map,-4.507116,-6.881001,-0.725434,0.688292
map,-4.507116,-6.881001,-0.725434,0.688292
map,-4.507116,-6.881001,-0.725434,0.688292
map,-4.507710,-7.086612,-0.695170,0.718846
map,-4.507710,-7.086612,-0.695170,0.718846
map,-4.507710,-7.086612,-0.695170,0.718846
map,-4.507710,-7.086612,-0.695170,0.718846
map,-4.475876,-7.341067,-0.638832,0.769346
map,-4.475876,-7.341067,-0.638832,0.769346
map,-4.475876,-7.341067,-0.638832,0.769346
map,-4.475876,-7.341067,-0.638832,0.769346
map,-4.475876,-7.341067,-0.638832,0.769346
map,-4.421008,-7.543489,-0.567379,0.823456
map,-4.421008,-7.543489,-0.567379,0.823456
map,-4.421008,-7.543489,-0.567379,0.823456
map,-4.421008,-7.543489,-0.567379,0.823456
map,-4.421008,-7.543489,-0.567379,0.823456
map,-4.306101,-7.759832,-0.499340,0.866406
map,-4.306101,-7.759832,-0.499340,0.866406
map,-4.306101,-7.759832,-0.499340,0.866406
map,-4.306101,-7.759832,-0.499340,0.866406
map,-4.306101,-7.759832,-0.499340,0.866406
map,-4.182670,-7.967715,-0.489792,0.871839
map,-4.182670,-7.967715,-0.489792,0.871839
map,-4.182670,-7.967715,-0.489792,0.871839
map,-4.182670,-7.967715,-0.489792,0.871839
map,-4.182670,-7.967715,-0.489792,0.871839
map,-4.046795,-8.177537,-0.474925,0.880026
map,-4.046795,-8.177537,-0.474925,0.880026
map,-4.046795,-8.177537,-0.474925,0.880026
map,-4.046795,-8.177537,-0.474925,0.880026
map,-4.046795,-8.177537,-0.474925,0.880026
map,-3.901953,-8.396099,-0.476827,0.878997
map,-3.901953,-8.396099,-0.476827,0.878997
