frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-4.197344,-6.475919,-0.834914,0.550381,0.000042,-0.000064
/odom,/base_footprint,-4.197347,-6.475925,-0.834914,0.550380,0.000027,0.000109
/odom,/base_footprint,-4.197151,-6.475466,-0.834251,0.551386,-0.010593,0.085367
/odom,/base_footprint,-4.196017,-6.472760,-0.832413,0.554156,-0.034584,-0.036376
/odom,/base_footprint,-4.195427,-6.471357,-0.834491,0.551022,-0.003685,-0.158220
/odom,/base_footprint,-4.194905,-6.470185,-0.840413,0.541946,-0.025731,-0.175968
/odom,/base_footprint,-4.194518,-6.469327,-0.844584,0.535423,0.024217,-0.192916
/odom,/base_footprint,-4.197320,-6.475013,-0.852410,0.522874,0.113951,-0.395445
/odom,/base_footprint,-4.203317,-6.486248,-0.862253,0.506478,0.189805,-0.502134
/odom,/base_footprint,-4.211625,-6.500457,-0.871817,0.489831,0.233224,-0.430864
/odom,/base_footprint,-4.229242,-6.528005,-0.881170,0.472800,0.193864,-0.145033
/odom,/base_footprint,-4.237675,-6.540624,-0.882226,0.470826,0.184700,0.012804
/odom,/base_footprint,-4.248666,-6.557191,-0.879490,0.475918,0.235088,0.200415
/odom,/base_footprint,-4.262686,-6.579235,-0.873302,0.487180,0.284990,0.323581
/odom,/base_footprint,-4.277985,-6.605211,-0.862562,0.505951,0.334568,0.497933
/odom,/base_footprint,-4.297623,-6.643065,-0.846382,0.532577,0.369847,0.535972
/odom,/base_footprint,-4.304011,-6.656752,-0.840694,0.541511,0.388071,0.519567
/odom,/base_footprint,-4.325974,-6.710194,-0.821461,0.570264,0.452733,0.417955
/odom,/base_footprint,-4.338844,-6.746274,-0.813298,0.581848,0.478597,0.365565
/odom,/base_footprint,-4.357940,-6.808649,-0.792699,0.609613,0.435700,0.544771
/odom,/base_footprint,-4.366450,-6.843687,-0.780223,0.625502,0.475865,0.444023
/odom,/base_footprint,-4.374309,-6.881699,-0.770710,0.637186,0.479565,0.383097
/odom,/base_footprint,-4.385120,-6.949726,-0.750906,0.660409,0.493711,0.353752
/odom,/base_footprint,-4.389734,-6.989169,-0.743784,0.668420,0.501295,0.226158
