frame,plan_position_x,plan_position_y,plan_orientation_z,plan_orientation_w,ID

map,-4.295027,-6.259303,-0.711743,0.702440,1
map,-4.295567,-6.300335,-0.716309,0.697783,1
map,-4.296756,-6.325307,-0.736683,0.676238,1
map,-4.299834,-6.350117,-0.758824,0.651296,1
map,-4.304335,-6.374709,-0.777707,0.628627,1
map,-4.310312,-6.398983,-0.796057,0.605222,1
map,-4.317699,-6.422867,-0.811945,0.583734,1
map,-4.326232,-6.446366,-0.818896,0.573942,1
map,-4.334759,-6.469867,-0.818168,0.574979,1
map,-4.343173,-6.493409,-0.816110,0.577896,1
map,-4.351362,-6.517029,-0.813104,0.582119,1
map,-4.359286,-6.540740,-0.809028,0.587770,1
map,-4.366814,-6.564580,-0.804123,0.594463,1
map,-4.373947,-6.588541,-0.799102,0.601195,1
map,-4.380670,-6.612620,-0.793496,0.608576,1
map,-4.386910,-6.636829,-0.787187,0.616715,1
map,-4.392636,-6.661164,-0.780534,0.625113,1
map,-4.397832,-6.685618,-0.773748,0.633493,1
map,-4.402504,-6.710178,-0.767021,0.641622,1
map,-4.406664,-6.734829,-0.760623,0.649194,1
map,-4.410358,-6.759554,-0.754717,0.656050,1
map,-4.413624,-6.784340,-0.749431,0.662083,1
map,-4.416523,-6.809172,-0.745063,0.666994,1
map,-4.419136,-6.834035,-0.741497,0.670957,1
map,-4.421504,-6.858922,-0.738567,0.674180,1
map,-4.423684,-6.883828,-0.736230,0.676732,1
map,-4.425708,-6.908745,-0.733997,0.679153,1
map,-4.427559,-6.933677,-0.731335,0.682018,1
map,-4.429193,-6.958623,-0.728293,0.685266,1
map,-4.430600,-6.983584,-0.724918,0.688835,1
map,-4.431743,-7.008557,-0.721236,0.692689,1
map,-4.432618,-7.033542,-0.717249,0.696817,1
map,-4.433188,-7.058536,-0.712918,0.701248,1
map,-4.433443,-7.083534,-0.708196,0.706015,1
map,-4.433342,-7.108534,-0.702986,0.711204,1
map,-4.432862,-7.133530,-0.697190,0.716886,1
map,-4.431950,-7.158513,-0.690656,0.723183,1
map,-4.430562,-7.183474,-0.683359,0.730082,1
map,-4.428648,-7.208401,-0.675418,0.737435,1
map,-4.426182,-7.233279,-0.667048,0.745015,1
map,-4.423143,-7.258093,-0.658662,0.752439,1
map,-4.419566,-7.282836,-0.649606,0.760271,1
map,-4.415343,-7.307477,-0.638655,0.769493,1
map,-4.410355,-7.331975,-0.626239,0.779631,1
map,-4.404562,-7.356294,-0.613869,0.789408,1
map,-4.398040,-7.380428,-0.601608,0.798791,1
map,-4.390757,-7.404344,-0.589021,0.808118,1
map,-4.382736,-7.428022,-0.581465,0.813571,1
map,-4.374567,-7.451650,-0.574231,0.818693,1
map,-4.365712,-7.475029,-0.562758,0.826622,1
map,-4.356238,-7.498165,-0.551980,0.833857,1
map,-4.346182,-7.521053,-0.542268,0.840206,1
map,-4.335645,-7.543724,-0.533408,0.845858,1
map,-4.324636,-7.566169,-0.525399,0.850856,1
map,-4.313250,-7.588426,-0.518896,0.854837,1
map,-4.301561,-7.610526,-0.513502,0.858089,1
map,-4.289619,-7.632489,-0.509298,0.860590,1
map,-4.277500,-7.654355,-0.504538,0.863389,1
map,-4.265076,-7.676049,-0.500308,0.865847,1
map,-4.252531,-7.697674,-0.497700,0.867349,1
map,-4.239846,-7.719216,-0.495369,0.868683,1
map,-4.227070,-7.740705,-0.492793,0.870146,1
map,-4.214131,-7.762096,-0.490329,0.871537,1
map,-4.201113,-7.783439,-0.489055,0.872253,1
map,-4.188048,-7.804754,-0.486958,0.873425,1
map,-4.174826,-7.825971,-0.485095,0.874461,1
map,-4.161580,-7.847174,-0.484409,0.874842,1
map,-4.148291,-7.868350,-0.483694,0.875237,1
map,-4.134976,-7.889509,-0.482357,0.875975,1
map,-4.121558,-7.910603,-0.481089,0.876672,1
map,-4.108120,-7.931684,-0.480866,0.876794,1
map,-4.094681,-7.952765,-0.480563,0.876960,1
map,-4.081215,-7.973828,-0.479600,0.877487,1
map,-4.067683,-7.994849,-0.478802,0.877923,1
map,-4.054140,-8.015863,-0.478625,0.878020,1
map,-4.040591,-8.036873,-0.478490,0.878093,1
map,-4.027035,-8.057878,-0.477825,0.878455,1
map,-4.013422,-8.078848,-0.477292,0.878744,1
map,-3.999816,-8.099821,-0.477235,0.878776,1
map,-3.986198,-8.120786,-0.476647,0.879095,1
map,-3.972535,-8.141723,-0.476185,0.879345,1
map,-3.958873,-8.162659,-0.476161,0.879358,1
map,-3.945208,-8.183594,-0.476152,0.879363,1
map,-3.931545,-8.204530,-0.475746,0.879582,1
map,-3.917842,-8.225440,-0.475387,0.879777,1
map,-3.904144,-8.246353,-0.475406,0.879767,1
map,-3.890443,-8.267264,-0.475353,0.879795,1
map,-3.876740,-8.288175,-0.475061,0.879953,1
map,-3.863011,-8.309068,-0.474778,0.880106,1
map,-3.849282,-8.329960,-0.474817,0.880084,1
map,-3.835556,-8.350856,-0.474545,0.880231,1
map,-3.821801,-8.371731,-0.474276,0.880376,1
map,-3.808050,-8.392610,-0.474324,0.880350,1
map,-3.794299,-8.413488,-0.474320,0.880353,1
map,-3.780548,-8.434366,-0.474118,0.880461,1
map,-3.766778,-8.455233,-0.473922,0.880567,1
map,-3.753008,-8.476099,-0.473959,0.880547,1
map,-3.739242,-8.496967,-0.473967,0.880543,1
map,-3.725473,-8.517834,-0.473777,0.880645,1
map,-3.711688,-8.538690,-0.473636,0.880721,1
map,-3.697906,-8.559547,-0.473653,0.880711,1
map,-3.684123,-8.580405,-0.473508,0.880790,1
map,-3.670327,-8.601254,-0.473367,0.880865,1
map,-3.656531,-8.622103,-0.473393,0.880851,1
map,-3.642737,-8.642952,-0.473417,0.880838,1
map,-3.628943,-8.663803,-0.473276,0.880914,1
map,-3.615136,-8.684644,-0.473169,0.880971,1
map,-3.601332,-8.705487,-0.473201,0.880955,1
map,-3.587528,-8.726331,-0.473079,0.881020,1
map,-3.573712,-8.747167,-0.472968,0.881080,1
map,-3.559898,-8.768003,-0.473000,0.881063,1
map,-3.546085,-8.788841,-0.473033,0.881045,1
map,-3.532274,-8.809679,-0.472924,0.881103,1
map,-3.518451,-8.830510,-0.472843,0.881146,1
map,-3.504632,-8.851344,-0.472879,0.881127,1
map,-3.490812,-8.872177,-0.472889,0.881122,1
map,-3.476994,-8.893011,-0.472808,0.881166,1
map,-3.463167,-8.913839,-0.472728,0.881209,1
map,-3.449341,-8.934669,-0.472765,0.881188,1
map,-3.435518,-8.955499,-0.472679,0.881235,1
map,-3.421684,-8.976322,-0.472604,0.881275,1
map,-3.407853,-8.997149,-0.472644,0.881253,1
map,-3.394023,-9.017975,-0.472661,0.881244,1
map,-3.380194,-9.038801,-0.472594,0.881280,1
map,-3.366358,-9.059624,-0.472529,0.881315,1
map,-3.352522,-9.080446,-0.472568,0.881294,1
map,-3.338690,-9.101271,-0.472499,0.881331,1
map,-3.324848,-9.122088,-0.472431,0.881368,1
map,-3.311009,-9.142909,-0.472473,0.881345,1
map,-3.297171,-9.163730,-0.472493,0.881335,1
map,-3.283334,-9.184551,-0.472438,0.881364,1
map,-3.269491,-9.205369,-0.472390,0.881390,1
map,-3.255649,-9.226187,-0.472423,0.881372,1
map,-3.241809,-9.247007,-0.472443,0.881361,1
map,-3.227969,-9.267826,-0.472386,0.881392,1
map,-3.214124,-9.288643,-0.472350,0.881411,1
map,-3.200280,-9.309460,-0.472375,0.881398,1
map,-3.186438,-9.330277,-0.472330,0.881422,1
map,-3.172590,-9.351092,-0.472286,0.881445,1
map,-3.158743,-9.371907,-0.472314,0.881430,1
map,-3.144898,-9.392723,-0.472340,0.881417,1
map,-3.131054,-9.413540,-0.472293,0.881442,1
map,-3.117204,-9.434353,-0.472261,0.881459,1
map,-3.103357,-9.455168,-0.472288,0.881444,1
map,-3.089510,-9.475983,-0.472309,0.881433,1
map,-3.075664,-9.496799,-0.472273,0.881452,1
map,-3.061814,-9.517612,-0.472238,0.881471,1
map,-3.047965,-9.538425,-0.472266,0.881456,1
map,-3.034117,-9.559239,-0.472226,0.881478,1
map,-3.020265,-9.580050,-0.472199,0.881492,1
map,-3.006415,-9.600863,-0.472228,0.881476,1
map,-2.992565,-9.621676,-0.472243,0.881469,1
map,-2.978716,-9.642490,-0.472234,0.881473,1
map,-2.964865,-9.663302,-0.472252,0.881463,1
map,-2.951018,-9.684117,-0.472481,0.881341,1
map,-2.937189,-9.704945,-0.472916,0.881108,1
map,-2.923383,-9.725786,-0.473477,0.880806,1
map,-2.909607,-9.746649,-0.475449,0.879743,1
map,-2.895989,-9.767613,-0.478587,0.878040,1
map,-2.882512,-9.788671,-0.480737,0.876865,1
map,-2.869099,-9.809768,-0.484322,0.874890,1
map,-2.855969,-9.831042,-0.489852,0.871806,1
map,-2.843095,-9.852472,-0.496858,0.867832,1
map,-2.830657,-9.874159,-0.501874,0.864941,1
map,-2.818283,-9.895882,-0.507079,0.861899,1
map,-2.806372,-9.917861,-0.515823,0.856695,1
map,-2.794892,-9.940069,-0.525051,0.851071,1
map,-2.783941,-9.962543,-0.528819,0.848735,1
map,-2.772856,-9.984952,-0.532239,0.846594,1
map,-2.762270,-10.007600,-0.542498,0.840057,1
map,-2.752289,-10.030521,-0.552805,0.833311,1
map,-2.742831,-10.053663,-0.561611,0.827401,1
map,-2.733830,-10.076986,-0.569198,0.822201,1
map,-2.725230,-10.100461,-0.567465,0.823398,1
map,-2.716033,-10.123708,-0.565098,0.825024,1
map,-2.707164,-10.147081,-0.570247,0.821473,1
map,-2.698552,-10.170551,-0.574454,0.818537,1
map,-2.690164,-10.194102,-0.577776,0.816195,1
map,-2.681935,-10.217709,-0.573570,0.819156,1
map,-2.673064,-10.241082,-0.569348,0.822097,1
map,-2.664350,-10.264514,-0.571870,0.820344,1
map,-2.655768,-10.287995,-0.573858,0.818955,1
map,-2.647282,-10.311511,-0.575269,0.817964,1
map,-2.638861,-10.335050,-0.576235,0.817284,1
map,-2.630486,-10.358605,-0.573467,0.819229,1
map,-2.621748,-10.382029,-0.570938,0.820993,1
map,-2.613083,-10.405479,-0.572024,0.820237,1
map,-2.604469,-10.428948,-0.572854,0.819658,1
map,-2.595899,-10.452434,-0.573434,0.819251,1
map,-2.587352,-10.475926,-0.573800,0.818996,1
map,-2.578824,-10.499427,-0.572052,0.820217,1
map,-2.570076,-10.522847,-0.570475,0.821315,1
map,-2.561368,-10.546281,-0.571036,0.820925,1
map,-2.552685,-10.569725,-0.571432,0.820650,1
map,-2.544022,-10.593176,-0.571699,0.820463,1
map,-2.535368,-10.616631,-0.571831,0.820372,1
map,-2.526721,-10.640087,-0.570643,0.821198,1
map,-2.517932,-10.663491,-0.569588,0.821931,1
map,-2.509164,-10.686903,-0.569897,0.821716,1
map,-2.500410,-10.710320,-0.570104,0.821573,1
map,-2.491665,-10.733742,-0.570225,0.821488,1
map,-2.482926,-10.757164,-0.571733,0.820440,1
map,-2.474353,-10.780648,-0.572999,0.819556,1
map,-2.465759,-10.804125,-0.572527,0.819886,1
map,-2.457132,-10.827589,-0.571934,0.820300,1
map,-2.448469,-10.851040,-0.571215,0.820801,1
map,-2.439761,-10.874475,-0.570376,0.821384,1
map,-2.431002,-10.897890,-0.578791,0.815476,1
map,-2.423265,-10.921662,-0.585888,0.810392,1
map,-2.415329,-10.945370,-0.582308,0.812968,1
map,-2.407173,-10.969002,-0.578331,0.815803,1
map,-2.398776,-10.992549,-0.573941,0.818897,1
map,-2.390114,-11.016001,-0.569108,0.822263,1
map,-2.381165,-11.039344,-0.579402,0.815042,1
map,-2.373693,-11.063201,-0.587849,0.808970,1
map,-2.365722,-11.086897,-0.578794,0.815474,1
map,-2.357194,-11.110397,-0.568584,0.822625,1
map,-2.348052,-11.133666,-0.556941,0.830552,1
map,-2.338215,-11.156649,-0.543687,0.839288,1
map,-2.327615,-11.179291,-0.548879,0.835902,1
map,-2.318350,-11.202510,-0.550763,0.834661,1
map,-2.307955,-11.225246,-0.529125,0.848544,1
map,-2.296355,-11.247393,-0.506651,0.862152,1
map,-2.283632,-11.268913,-0.495994,0.868326,1
map,-2.270956,-11.290461,-0.484991,0.874519,1
map,-2.257163,-11.311312,-0.461178,0.887308,1
map,-2.242235,-11.331366,-0.436285,0.899808,1
map,-2.226210,-11.350554,-0.415360,0.909657,1
map,-2.209493,-11.369143,-0.394337,0.918966,1
map,-2.191773,-11.386778,-0.371022,0.928624,1
map,-2.173269,-11.403588,-0.348003,0.937493,1
map,-2.153897,-11.419392,-0.323795,0.946127,1
map,-2.133765,-11.434214,-0.300447,0.953798,1
map,-2.112936,-11.448040,-0.278157,0.960536,1
map,-2.091513,-11.460925,-0.258341,0.966054,1
map,-2.069618,-11.472992,-0.238452,0.971154,1
map,-2.047210,-11.484076,-0.218154,0.975914,1
map,-2.024385,-11.494278,-0.203796,0.979013,1
map,-2.001365,-11.504028,-0.192436,0.981309,1
map,-1.978093,-11.513161,-0.178880,0.983871,1
map,-1.954570,-11.521626,-0.167750,0.985830,1
map,-1.930908,-11.529697,-0.156427,0.987689,1
map,-1.907022,-11.537074,-0.150254,0.988647,1
map,-1.883166,-11.544552,-0.149175,0.988811,1
map,-1.859247,-11.551825,-0.147454,0.989069,1
map,-1.835340,-11.559136,-0.145707,0.989328,1
map,-1.811371,-11.566239,-0.144413,0.989517,1
map,-1.787426,-11.573426,-0.144094,0.989564,1
map,-1.763447,-11.580499,-0.144672,0.989480,1
map,-1.739519,-11.587741,-0.146823,0.989163,1
map,-1.715603,-11.595022,-0.148612,0.988896,1
map,-1.691728,-11.602437,-0.149954,0.988693,1
map,-1.667852,-11.609848,-0.151055,0.988525,1
map,-1.644010,-11.617370,-0.152455,0.988310,1
map,-1.620176,-11.624915,-0.153944,0.988080,1
map,-1.596380,-11.632580,-0.155607,0.987819,1
map,-1.572597,-11.640286,-0.157300,0.987551,1
map,-1.548854,-11.648114,-0.152914,0.988239,1
map,-1.524939,-11.655396,-0.150439,0.988619,1
map,-1.501118,-11.662987,-0.155917,0.987770,1
map,-1.477370,-11.670797,-0.158452,0.987367,1
map,-1.453629,-11.678632,-0.159897,0.987134,1
map,-1.429927,-11.686582,-0.161467,0.986878,1
map,-1.406237,-11.694567,-0.162208,0.986757,1
map,-1.382558,-11.702587,-0.162220,0.986755,1
map,-1.358868,-11.710573,-0.162085,0.986777,1
map,-1.335185,-11.718582,-0.162453,0.986716,1
map,-1.311507,-11.726604,-0.163069,0.986615,1
map,-1.287844,-11.734671,-0.163977,0.986464,1
map,-1.264196,-11.742779,-0.165066,0.986283,1
map,-1.240569,-11.750951,-0.166524,0.986037,1
map,-1.216969,-11.759199,-0.168082,0.985773,1
map,-1.193394,-11.767519,-0.169328,0.985560,1
map,-1.169836,-11.775887,-0.170356,0.985383,1
map,-1.146297,-11.784306,-0.171172,0.985241,1
map,-1.122766,-11.792751,-0.171610,0.985165,1
map,-1.099242,-11.801212,-0.170626,0.985336,1
map,-1.075678,-11.809564,-0.168364,0.985725,1
map,-1.052076,-11.817808,-0.166311,0.986073,1
map,-1.028444,-11.825963,-0.164471,0.986382,1
map,-1.004781,-11.834032,-0.162788,0.986661,1
map,-0.981094,-11.842025,-0.161264,0.986911,1
map,-0.957382,-11.849947,-0.161152,0.986930,1
map,-0.933691,-11.857929,-0.162290,0.986743,1
map,-0.910016,-11.865961,-0.163273,0.986581,1
map,-0.886357,-11.874038,-0.163466,0.986549,1
map,-0.862688,-11.882088,-0.163845,0.986486,1
map,-0.839041,-11.890201,-0.165377,0.986230,1
map,-0.815423,-11.898397,-0.166244,0.986085,1
map,-0.815423,-11.898397,-0.741732,0.670696,1

map,-4.295027,-6.259303,-0.711743,0.702440,2
map,-4.295567,-6.300335,-0.716309,0.697783,2
map,-4.296756,-6.325307,-0.736683,0.676238,2
map,-4.299834,-6.350117,-0.758824,0.651296,2
map,-4.304335,-6.374709,-0.777707,0.628627,2
map,-4.310312,-6.398983,-0.796057,0.605222,2
map,-4.317699,-6.422867,-0.811945,0.583734,2
map,-4.326232,-6.446366,-0.818896,0.573942,2
map,-4.334759,-6.469867,-0.818168,0.574979,2
map,-4.343173,-6.493409,-0.816110,0.577896,2
map,-4.351362,-6.517029,-0.813104,0.582119,2
map,-4.359286,-6.540740,-0.809028,0.587770,2
map,-4.366814,-6.564580,-0.804123,0.594463,2
map,-4.373947,-6.588541,-0.799102,0.601195,2
map,-4.380670,-6.612620,-0.793496,0.608576,2
map,-4.386910,-6.636829,-0.787187,0.616715,2
map,-4.392636,-6.661164,-0.780534,0.625113,2
map,-4.397832,-6.685618,-0.773748,0.633493,2
map,-4.402504,-6.710178,-0.767021,0.641622,2
map,-4.406664,-6.734829,-0.760623,0.649194,2
map,-4.410358,-6.759554,-0.754717,0.656050,2
map,-4.413624,-6.784340,-0.749431,0.662083,2
map,-4.416523,-6.809172,-0.745063,0.666994,2
map,-4.419136,-6.834035,-0.741497,0.670957,2
map,-4.421504,-6.858922,-0.738567,0.674180,2
map,-4.423684,-6.883828,-0.736230,0.676732,2
map,-4.425708,-6.908745,-0.733997,0.679153,2
map,-4.427559,-6.933677,-0.731335,0.682018,2
map,-4.429193,-6.958623,-0.728293,0.685266,2
map,-4.430600,-6.983584,-0.724918,0.688835,2
map,-4.431743,-7.008557,-0.721236,0.692689,2
map,-4.432618,-7.033542,-0.717249,0.696817,2
map,-4.433188,-7.058536,-0.712918,0.701248,2
map,-4.433443,-7.083534,-0.708196,0.706015,2
map,-4.433342,-7.108534,-0.702986,0.711204,2
map,-4.432862,-7.133530,-0.697190,0.716886,2
map,-4.431950,-7.158513,-0.690656,0.723183,2
map,-4.430562,-7.183474,-0.683359,0.730082,2
map,-4.428648,-7.208401,-0.675418,0.737435,2
map,-4.426182,-7.233279,-0.667048,0.745015,2
map,-4.423143,-7.258093,-0.658662,0.752439,2
map,-4.419566,-7.282836,-0.649606,0.760271,2
map,-4.415343,-7.307477,-0.638655,0.769493,2
map,-4.410355,-7.331975,-0.626239,0.779631,2
map,-4.404562,-7.356294,-0.613869,0.789408,2
map,-4.398040,-7.380428,-0.601608,0.798791,2
map,-4.390757,-7.404344,-0.589021,0.808118,2
map,-4.382736,-7.428022,-0.581465,0.813571,2
map,-4.374567,-7.451650,-0.574231,0.818693,2
map,-4.365712,-7.475029,-0.562758,0.826622,2
map,-4.356238,-7.498165,-0.551980,0.833857,2
map,-4.346182,-7.521053,-0.542268,0.840206,2
map,-4.335645,-7.543724,-0.533408,0.845858,2
map,-4.324636,-7.566169,-0.525399,0.850856,2
map,-4.313250,-7.588426,-0.518896,0.854837,2
map,-4.301561,-7.610526,-0.513502,0.858089,2
map,-4.289619,-7.632489,-0.509298,0.860590,2
map,-4.277500,-7.654355,-0.504538,0.863389,2
map,-4.265076,-7.676049,-0.500308,0.865847,2
map,-4.252531,-7.697674,-0.497700,0.867349,2
map,-4.239846,-7.719216,-0.495369,0.868683,2
map,-4.227070,-7.740705,-0.492793,0.870146,2
map,-4.214131,-7.762096,-0.490329,0.871537,2
map,-4.201113,-7.783439,-0.489055,0.872253,2
map,-4.188048,-7.804754,-0.486958,0.873425,2
map,-4.174826,-7.825971,-0.485095,0.874461,2
map,-4.161580,-7.847174,-0.484409,0.874842,2
map,-4.148291,-7.868350,-0.483694,0.875237,2
map,-4.134976,-7.889509,-0.482357,0.875975,2
map,-4.121558,-7.910603,-0.481089,0.876672,2
map,-4.108120,-7.931684,-0.480866,0.876794,2
map,-4.094681,-7.952765,-0.480563,0.876960,2
map,-4.081215,-7.973828,-0.479600,0.877487,2
map,-4.067683,-7.994849,-0.478802,0.877923,2
map,-4.054140,-8.015863,-0.478625,0.878020,2
map,-4.040591,-8.036873,-0.478490,0.878093,2
map,-4.027035,-8.057878,-0.477825,0.878455,2
map,-4.013422,-8.078848,-0.477292,0.878744,2
map,-3.999816,-8.099821,-0.477235,0.878776,2
map,-3.986198,-8.120786,-0.476647,0.879095,2
map,-3.972535,-8.141723,-0.476185,0.879345,2
