frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,-4.197347,-6.475925,-0.834914,0.550380,2
odom,-4.196945,-6.474020,-0.830144,0.557549,2
odom,-4.196538,-6.472023,-0.826081,0.563552,2
odom,-4.196064,-6.469868,-0.830633,0.556820,2
odom,-4.198751,-6.475096,-0.842248,0.539090,2
odom,-4.207706,-6.493077,-0.849864,0.527002,2
odom,-4.221058,-6.520454,-0.845006,0.534757,2
odom,-4.241817,-6.568842,-0.826512,0.562919,2
odom,-4.270140,-6.663881,-0.778308,0.627882,2
odom,-4.288188,-6.797249,-0.729718,0.683748,2
odom,-4.292900,-6.956491,-0.706303,0.707910,2
odom,-4.293485,-7.132874,-0.710486,0.703711,2
odom,-4.293447,-7.322482,-0.703494,0.710701,2
odom,-4.282089,-7.511976,-0.667257,0.744828,2
odom,-4.250730,-7.677316,-0.606599,0.795008,2
odom,-4.204179,-7.811041,-0.549354,0.835590,2
odom,-4.162575,-7.895509,-0.505272,0.862960,2
odom,-4.096179,-8.000658,-0.460167,0.887833,2
odom,-4.049474,-8.064430,-0.433022,0.901383,2
odom,-4.010369,-8.113399,-0.432948,0.901419,2
odom,-3.986521,-8.144725,-0.452638,0.891694,2
odom,-3.971676,-8.166193,-0.472717,0.881214,2

odom,-4.197068,-6.475271,-0.833704,0.552212,3
odom,-4.193933,-6.467606,-0.837208,0.546884,3
odom,-4.195937,-6.471849,-0.850094,0.526631,3
odom,-4.201857,-6.484107,-0.851435,0.524461,3
odom,-4.213066,-6.508543,-0.845350,0.534213,3
odom,-4.233325,-6.558588,-0.824310,0.566139,3
odom,-4.262100,-6.663764,-0.770999,0.636837,3
odom,-4.281488,-6.793392,-0.744674,0.667429,3
odom,-4.295220,-6.953289,-0.726234,0.687447,3
odom,-4.299628,-7.143282,-0.701172,0.712992,3
odom,-4.290771,-7.350795,-0.682062,0.731294,3
odom,-4.268909,-7.546214,-0.652584,0.757716,3
odom,-4.234518,-7.711854,-0.608607,0.793472,3
odom,-4.189697,-7.841803,-0.544463,0.838785,3
odom,-4.153235,-7.914085,-0.491258,0.871014,3
odom,-4.108675,-7.982667,-0.448573,0.893746,3
odom,-4.073095,-8.029419,-0.425830,0.904803,3
odom,-4.039502,-8.071481,-0.427579,0.903978,3
odom,-4.009825,-8.109920,-0.441395,0.897313,3
odom,-3.988177,-8.140753,-0.467801,0.883834,3
odom,-3.971676,-8.166193,-0.472717,0.881214,3

odom,-4.195395,-6.471282,-0.835538,0.549433,4
odom,-4.198380,-6.461442,-0.839932,0.542691,4
odom,-4.213665,-6.459530,-0.880993,0.473130,4
odom,-4.335479,-6.633155,-0.892835,0.450383,4
odom,-4.428971,-6.765904,-0.868102,0.496385,4
odom,-4.461038,-6.809087,-0.862353,0.506307,4
odom,-4.516207,-6.908851,-0.838806,0.544430,4
odom,-4.574237,-7.096145,-0.759520,0.650485,4
odom,-4.566225,-7.365403,-0.626967,0.779046,4
odom,-4.468889,-7.624405,-0.513159,0.858294,4
odom,-4.359212,-7.790766,-0.459095,0.888387,4
odom,-4.288444,-7.872653,-0.432597,0.901587,4
