frame,plan_position_x,plan_position_y,plan_orientation_z,plan_orientation_w,ID

map,-4.244989,-8.510049,0.717729,0.696323,1
map,-4.246384,-8.464005,0.712436,0.701737,1
map,-4.246065,-8.439007,0.702818,0.711369,1
map,-4.245780,-8.414008,0.704228,0.709974,1
map,-4.245658,-8.389009,0.705831,0.708380,1
map,-4.245599,-8.364008,0.707169,0.707044,1
map,-4.245667,-8.339008,0.708631,0.705580,1
map,-4.245815,-8.314009,0.710009,0.704192,1
map,-4.246078,-8.289010,0.711467,0.702719,1
map,-4.246433,-8.264013,0.712894,0.701272,1
map,-4.246900,-8.239017,0.714371,0.699768,1
map,-4.247466,-8.214024,0.715822,0.698282,1
map,-4.248140,-8.189033,0.717302,0.696762,1
map,-4.248918,-8.164044,0.718759,0.695259,1
map,-4.249802,-8.139060,0.720231,0.693735,1
map,-4.250792,-8.114080,0.721681,0.692226,1
map,-4.251884,-8.089104,0.723135,0.690707,1
map,-4.253084,-8.064133,0.724567,0.689204,1
map,-4.254384,-8.039166,0.725998,0.687697,1
map,-4.255791,-8.014206,0.727409,0.686205,1
map,-4.257296,-7.989251,0.728814,0.684712,1
map,-4.258908,-7.964303,0.730201,0.683233,1
map,-4.260615,-7.939362,0.731579,0.681757,1
map,-4.262429,-7.914427,0.732942,0.680291,1
map,-4.264336,-7.889500,0.734297,0.678829,1
map,-4.266348,-7.864582,0.735637,0.677375,1
map,-4.268452,-7.839670,0.736971,0.675924,1
map,-4.270660,-7.814768,0.738294,0.674479,1
map,-4.272960,-7.789874,0.739543,0.673109,1
map,-4.275353,-7.764988,0.740327,0.672247,1
map,-4.277768,-7.740106,0.740696,0.671841,1
map,-4.280216,-7.715226,0.741029,0.671473,1
map,-4.282681,-7.690348,0.741325,0.671147,1
map,-4.285172,-7.665472,0.741588,0.670855,1
map,-4.287676,-7.640598,0.741816,0.670603,1
map,-4.290201,-7.615726,0.742013,0.670386,1
map,-4.292734,-7.590854,0.742178,0.670203,1
map,-4.295284,-7.565985,0.742315,0.670051,1
map,-4.297837,-7.541115,0.742423,0.669931,1
map,-4.300404,-7.516247,0.742506,0.669840,1
map,-4.302969,-7.491379,0.742562,0.669778,1
map,-4.305543,-7.466512,0.742595,0.669741,1
map,-4.308114,-7.441645,0.742604,0.669730,1
map,-4.310689,-7.416778,0.742593,0.669743,1
map,-4.313258,-7.391910,0.742561,0.669778,1
map,-4.315829,-7.367043,0.742511,0.669834,1
map,-4.318390,-7.342175,0.742441,0.669911,1
map,-4.320951,-7.317306,0.742357,0.670005,1
map,-4.323500,-7.292436,0.742295,0.670073,1
map,-4.326051,-7.267567,0.742316,0.670050,1
map,-4.328603,-7.242697,0.742383,0.669976,1
map,-4.331164,-7.217829,0.742442,0.669910,1
map,-4.333725,-7.192960,0.742490,0.669858,1
map,-4.336293,-7.168092,0.742529,0.669814,1
map,-4.338860,-7.143225,0.742558,0.669782,1
map,-4.341433,-7.118357,0.742578,0.669760,1
map,-4.344002,-7.093490,0.742587,0.669750,1
map,-4.346576,-7.068623,0.742588,0.669749,1
map,-4.349146,-7.043755,0.742578,0.669760,1
map,-4.351718,-7.018888,0.742559,0.669780,1
map,-4.354285,-6.994020,0.742531,0.669812,1
map,-4.356853,-6.969152,0.742494,0.669853,1
map,-4.359415,-6.944283,0.742447,0.669905,1
map,-4.361976,-6.919415,0.742392,0.669966,1
map,-4.364530,-6.894546,0.742328,0.670036,1
map,-4.367081,-6.869677,0.742256,0.670116,1
map,-4.369624,-6.844806,0.742176,0.670205,1
map,-4.372164,-6.819935,0.742088,0.670302,1
map,-4.374693,-6.795063,0.742037,0.670359,1
map,-4.377225,-6.770192,0.742031,0.670366,1
map,-4.379755,-6.745320,0.742026,0.670371,1
map,-4.382286,-6.720449,0.742018,0.670380,1
map,-4.384814,-6.695577,0.742005,0.670395,1
map,-4.387343,-6.670705,0.741987,0.670414,1
map,-4.389868,-6.645833,0.741964,0.670440,1
map,-4.392394,-6.620961,0.741938,0.670469,1
map,-4.394915,-6.596089,0.741906,0.670504,1
map,-4.397437,-6.571216,0.741870,0.670544,1
map,-4.399952,-6.546343,0.741828,0.670590,1
map,-4.402467,-6.521470,0.741783,0.670640,1
map,-4.404976,-6.496596,0.741733,0.670696,1
