frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-0.001822,0.000006,-0.002283,0.999997,-0.000045,-0.000167
/odom,/base_footprint,-0.001825,0.000006,-0.002282,0.999997,-0.000080,-0.000037
/odom,/base_footprint,-0.002047,0.000007,-0.005794,0.999983,-0.002431,-0.158438
/odom,/base_footprint,-0.002250,0.000012,-0.015862,0.999874,-0.002688,-0.324597
/odom,/base_footprint,-0.002520,0.000025,-0.032567,0.999470,-0.003775,-0.487907
/odom,/base_footprint,-0.002879,0.000059,-0.068131,0.997676,-0.001941,-0.512597
/odom,/base_footprint,-0.002938,0.000068,-0.088655,0.996062,-0.000440,-0.515487
/odom,/base_footprint,-0.002977,0.000076,-0.109049,0.994036,-0.000617,-0.509688
/odom,/base_footprint,0.000062,-0.000780,-0.144485,0.989507,0.056924,-0.512707
/odom,/base_footprint,0.006543,-0.002879,-0.164736,0.986338,0.112882,-0.512208
/odom,/base_footprint,0.016260,-0.006458,-0.185029,0.982733,0.156719,-0.519408
/odom,/base_footprint,0.039813,-0.016699,-0.220532,0.975380,0.201239,-0.514995
/odom,/base_footprint,0.055552,-0.024610,-0.240487,0.970652,0.228991,-0.511441
/odom,/base_footprint,0.072308,-0.033911,-0.260381,0.965506,0.253936,-0.514692
/odom,/base_footprint,0.104048,-0.053966,-0.294841,0.955546,0.278262,-0.510880
/odom,/base_footprint,0.123589,-0.067908,-0.314492,0.949260,0.314074,-0.517816
/odom,/base_footprint,0.143996,-0.083770,-0.333988,0.942577,0.332339,-0.513141
/odom,/base_footprint,0.170169,-0.106138,-0.357931,0.933748,0.372149,-0.508682
/odom,/base_footprint,0.205865,-0.140314,-0.386290,0.922377,0.448504,-0.508067
/odom,/base_footprint,0.231051,-0.166967,-0.404940,0.914343,0.465551,-0.508284
/odom,/base_footprint,0.273487,-0.217220,-0.437171,0.899378,0.473866,-0.506891
/odom,/base_footprint,0.296813,-0.248188,-0.455261,0.890358,0.487759,-0.504939
/odom,/base_footprint,0.319213,-0.280566,-0.473124,0.880996,0.495521,-0.504360
/odom,/base_footprint,0.345633,-0.322718,-0.495166,0.868799,0.500042,-0.503934
/odom,/base_footprint,0.374646,-0.375255,-0.521148,0.853466,0.499960,-0.502052
/odom,/base_footprint,0.392195,-0.411188,-0.538173,0.842834,0.500008,-0.501232
/odom,/base_footprint,0.419400,-0.475681,-0.567405,0.823439,0.499962,-0.501236
/odom,/base_footprint,0.432892,-0.513333,-0.583761,0.811925,0.500054,-0.499662
/odom,/base_footprint,0.444871,-0.551502,-0.599871,0.800097,0.500095,-0.499937
/odom,/base_footprint,0.459954,-0.609569,-0.623586,0.781755,0.500037,-0.499711
/odom,/base_footprint,0.471532,-0.668437,-0.646716,0.762731,0.500045,-0.499095
/odom,/base_footprint,0.475995,-0.698106,-0.658060,0.752965,0.500039,-0.498797
/odom,/base_footprint,0.482291,-0.757767,-0.678803,0.734320,0.499866,-0.388974
/odom,/base_footprint,0.485721,-0.817653,-0.693451,0.720504,0.499873,-0.293262
/odom,/base_footprint,0.486621,-0.847642,-0.699070,0.715053,0.499995,-0.221724
/odom,/base_footprint,0.487262,-0.907624,-0.706901,0.707312,0.499973,-0.143031
/odom,/base_footprint,0.486689,-0.967631,-0.715315,0.698802,0.500308,-0.294105
