frame,amcl_position_x,amcl_position_y,amcl_orientation_z,amcl_orientation_w
map,4.150904,-4.485112,0.514989,0.857196
map,4.150904,-4.485112,0.514989,0.857196
map,4.150904,-4.485112,0.514989,0.857196
map,4.150904,-4.485112,0.514989,0.857196
map,4.150904,-4.485112,0.514989,0.857196
map,4.150904,-4.485112,0.514989,0.857196
map,4.203531,-4.382315,0.593514,0.804824
map,4.203531,-4.382315,0.593514,0.804824
map,4.203531,-4.382315,0.593514,0.804824
map,4.203531,-4.382315,0.593514,0.804824
map,4.202503,-4.380048,0.673282,0.739386
map,4.202503,-4.380048,0.673282,0.739386
map,4.202503,-4.380048,0.673282,0.739386
map,4.202503,-4.380048,0.673282,0.739386
map,4.196878,-4.358308,0.745345,0.666679
map,4.196878,-4.358308,0.745345,0.666679
map,4.196878,-4.358308,0.745345,0.666679
map,4.196878,-4.358308,0.745345,0.666679
map,4.178443,-4.272362,0.809824,0.586673
map,4.178443,-4.272362,0.809824,0.586673
map,4.178443,-4.272362,0.809824,0.586673
map,4.178443,-4.272362,0.809824,0.586673
map,4.135090,-4.176241,0.866107,0.499859
map,4.135090,-4.176241,0.866107,0.499859
map,4.135090,-4.176241,0.866107,0.499859
map,4.135090,-4.176241,0.866107,0.499859
map,4.056968,-4.062469,0.913993,0.405729
map,4.056968,-4.062469,0.913993,0.405729
map,4.056968,-4.062469,0.913993,0.405729
map,4.056968,-4.062469,0.913993,0.405729
map,3.958821,-3.971415,0.949549,0.313620
map,3.958821,-3.971415,0.949549,0.313620
map,3.958821,-3.971415,0.949549,0.313620
map,3.958821,-3.971415,0.949549,0.313620
map,3.810041,-3.886268,0.976734,0.214454
map,3.810041,-3.886268,0.976734,0.214454
map,3.810041,-3.886268,0.976734,0.214454
map,3.810041,-3.886268,0.976734,0.214454
map,3.622264,-3.821379,0.993403,0.114674
map,3.622264,-3.821379,0.993403,0.114674
map,3.622264,-3.821379,0.993403,0.114674
map,3.622264,-3.821379,0.993403,0.114674
map,3.413264,-3.793729,0.999902,0.014027
map,3.413264,-3.793729,0.999902,0.014027
map,3.413264,-3.793729,0.999902,0.014027
map,3.413264,-3.793729,0.999902,0.014027
map,3.208780,-3.801025,-0.999213,0.039656
map,3.208780,-3.801025,-0.999213,0.039656
map,3.208780,-3.801025,-0.999213,0.039656
map,3.208780,-3.801025,-0.999213,0.039656
map,3.208780,-3.801025,-0.999213,0.039656
map,2.971367,-3.823256,-0.999723,0.023521
map,2.971367,-3.823256,-0.999723,0.023521
map,2.971367,-3.823256,-0.999723,0.023521
map,2.971367,-3.823256,-0.999723,0.023521
map,2.766609,-3.811783,0.997618,0.068985
map,2.766609,-3.811783,0.997618,0.068985
map,2.766609,-3.811783,0.997618,0.068985
map,2.766609,-3.811783,0.997618,0.068985
map,2.571188,-3.764888,0.986285,0.165051
map,2.571188,-3.764888,0.986285,0.165051
map,2.571188,-3.764888,0.986285,0.165051
map,2.571188,-3.764888,0.986285,0.165051
map,2.397202,-3.685918,0.965009,0.262218
map,2.397202,-3.685918,0.965009,0.262218
map,2.397202,-3.685918,0.965009,0.262218
map,2.397202,-3.685918,0.965009,0.262218
map,2.397202,-3.685918,0.965009,0.262218
map,2.198631,-3.549174,0.944355,0.328928
map,2.198631,-3.549174,0.944355,0.328928
map,2.198631,-3.549174,0.944355,0.328928
map,2.198631,-3.549174,0.944355,0.328928
map,2.198631,-3.549174,0.944355,0.328928
map,2.198631,-3.549174,0.944355,0.328928
map,1.960420,-3.356485,0.927602,0.373570
map,1.960420,-3.356485,0.927602,0.373570
map,1.960420,-3.356485,0.927602,0.373570
map,1.960420,-3.356485,0.927602,0.373570
map,1.960420,-3.356485,0.927602,0.373570
map,1.960420,-3.356485,0.927602,0.373570
map,1.766512,-3.164681,0.914369,0.404881
map,1.766512,-3.164681,0.914369,0.404881
map,1.766512,-3.164681,0.914369,0.404881
map,1.766512,-3.164681,0.914369,0.404881
map,1.766512,-3.164681,0.914369,0.404881
map,1.766512,-3.164681,0.914369,0.404881
map,1.545543,-2.956547,0.927715,0.373289
map,1.545543,-2.956547,0.927715,0.373289
map,1.545543,-2.956547,0.927715,0.373289
map,1.545543,-2.956547,0.927715,0.373289
map,1.545543,-2.956547,0.927715,0.373289
map,1.545543,-2.956547,0.927715,0.373289
map,1.311547,-2.766047,0.937266,0.348614
map,1.311547,-2.766047,0.937266,0.348614
map,1.311547,-2.766047,0.937266,0.348614
map,1.311547,-2.766047,0.937266,0.348614
map,1.311547,-2.766047,0.937266,0.348614
map,1.311547,-2.766047,0.937266,0.348614
map,1.095333,-2.576921,0.933557,0.358430
map,1.095333,-2.576921,0.933557,0.358430
map,1.095333,-2.576921,0.933557,0.358430
map,1.095333,-2.576921,0.933557,0.358430
map,1.095333,-2.576921,0.933557,0.358430
map,0.938534,-2.419463,0.896583,0.442877
map,0.938534,-2.419463,0.896583,0.442877
map,0.938534,-2.419463,0.896583,0.442877
map,0.938534,-2.419463,0.896583,0.442877
map,0.938534,-2.419463,0.896583,0.442877
map,0.938534,-2.419463,0.896583,0.442877
map,0.938534,-2.419463,0.896583,0.442877
map,0.881795,-2.349453,0.938209,0.346069
map,0.881795,-2.349453,0.938209,0.346069
map,0.881795,-2.349453,0.938209,0.346069
map,0.881795,-2.349453,0.938209,0.346069
map,0.899148,-2.365895,0.968845,0.247670
map,0.899148,-2.365895,0.968845,0.247670
map,0.899148,-2.365895,0.968845,0.247670
map,0.899148,-2.365895,0.968845,0.247670
map,0.899148,-2.365895,0.968845,0.247670
map,0.876948,-2.361695,0.987623,0.156846
map,0.876948,-2.361695,0.987623,0.156846
map,0.876948,-2.361695,0.987623,0.156846
map,0.876948,-2.361695,0.987623,0.156846
map,0.876948,-2.361695,0.987623,0.156846
map,0.876948,-2.361695,0.987623,0.156846
map,0.876948,-2.361695,0.987623,0.156846
map,0.876948,-2.361695,0.987623,0.156846
map,0.664267,-2.318808,0.998607,0.052772
map,0.664267,-2.318808,0.998607,0.052772
map,0.664267,-2.318808,0.998607,0.052772
map,0.664267,-2.318808,0.998607,0.052772
map,0.664267,-2.318808,0.998607,0.052772
map,0.471958,-2.320173,-0.998935,0.046131
map,0.471958,-2.320173,-0.998935,0.046131
map,0.471958,-2.320173,-0.998935,0.046131
map,0.471958,-2.320173,-0.998935,0.046131
map,0.471958,-2.320173,-0.998935,0.046131
map,0.471958,-2.320173,-0.998935,0.046131
map,0.471958,-2.320173,-0.998935,0.046131
map,0.471958,-2.320173,-0.998935,0.046131
map,0.303780,-2.337401,0.998806,0.048852
map,0.303780,-2.337401,0.998806,0.048852
map,0.303780,-2.337401,0.998806,0.048852
map,0.303780,-2.337401,0.998806,0.048852
map,0.325806,-2.341511,0.990509,0.137447
map,0.325806,-2.341511,0.990509,0.137447
map,0.325806,-2.341511,0.990509,0.137447
map,0.325806,-2.341511,0.990509,0.137447
map,0.325806,-2.341511,0.990509,0.137447
map,0.287019,-2.324831,0.974106,0.226094
map,0.287019,-2.324831,0.974106,0.226094
map,0.287019,-2.324831,0.974106,0.226094
map,0.287019,-2.324831,0.974106,0.226094
map,0.287019,-2.324831,0.974106,0.226094
map,0.261597,-2.314665,0.949511,0.313734
map,0.261597,-2.314665,0.949511,0.313734
map,0.261597,-2.314665,0.949511,0.313734
map,0.261597,-2.314665,0.949511,0.313734
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.280710,-2.329429,0.917813,0.397013
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
map,0.242250,-2.295811,0.877544,0.479496
