frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,1.133726,-0.599723,0.710187,0.704013,2
odom,1.133510,-0.600171,0.640915,0.767612,2
odom,1.133174,-0.600798,0.578577,0.815627,2
odom,1.132671,-0.601550,0.508891,0.860831,2
odom,1.131968,-0.602370,0.436186,0.899857,2
odom,1.131039,-0.603188,0.353148,0.935567,2
odom,1.129899,-0.603923,0.269477,0.963007,2
odom,1.128615,-0.604528,0.202288,0.979326,2
odom,1.127240,-0.604987,0.136260,0.990673,2
odom,1.125821,-0.605287,0.072316,0.997382,2
odom,1.124402,-0.605424,0.007798,0.999970,2
odom,1.123035,-0.605387,-0.069340,0.997593,2
odom,1.121782,-0.605187,-0.147167,0.989112,2
odom,1.120707,-0.604858,-0.236955,0.971521,2
odom,1.119858,-0.604471,-0.320354,0.947298,2
odom,1.119371,-0.604228,-0.397076,0.917786,2
odom,1.135962,-0.625428,-0.472589,0.881283,2
odom,1.161165,-0.671923,-0.546792,0.837268,2
odom,1.185069,-0.741342,-0.611726,0.791069,2
odom,1.198964,-0.813400,-0.659208,0.751961,2
odom,1.204593,-0.886924,-0.697943,0.716153,2
odom,1.203709,-0.963423,-0.722913,0.690939,2
odom,1.198107,-1.045110,-0.737758,0.675065,2
odom,1.189431,-1.133113,-0.743347,0.668906,2
odom,1.180124,-1.226424,-0.738639,0.674101,2
odom,1.170381,-1.325992,-0.742188,0.670192,2
odom,1.159267,-1.428222,-0.745900,0.666058,2
odom,1.146830,-1.531439,-0.749982,0.661459,2
odom,1.133003,-1.635800,-0.753756,0.657155,2
odom,1.118379,-1.742095,-0.753337,0.657634,2
odom,1.104498,-1.844060,-0.752820,0.658226,2
odom,1.091488,-1.941036,-0.752051,0.659104,2
odom,1.079420,-2.032747,-0.751135,0.660149,2
odom,1.068393,-2.118266,-0.750309,0.661087,2
odom,1.058625,-2.196416,-0.748516,0.663117,2
odom,1.052095,-2.252408,-0.744619,0.667490,2
odom,1.047427,-2.297702,-0.739373,0.673296,2

odom,1.133724,-0.600009,0.699836,0.714303,3
odom,1.133504,-0.601008,0.620545,0.784171,3
odom,1.133109,-0.602043,0.561216,0.827669,3
odom,1.132561,-0.603062,0.497631,0.867389,3
odom,1.131869,-0.604020,0.430668,0.902510,3
odom,1.131058,-0.604877,0.360490,0.932763,3
odom,1.130163,-0.605600,0.288883,0.957364,3
odom,1.129229,-0.606175,0.218129,0.975920,3
odom,1.128300,-0.606599,0.147421,0.989074,3
odom,1.127417,-0.606884,0.076988,0.997032,3
odom,1.126616,-0.607048,0.006705,0.999978,3
odom,1.125926,-0.607119,-0.064150,0.997940,3
odom,1.125369,-0.607132,-0.133968,0.990986,3
odom,1.124953,-0.607125,-0.202633,0.979255,3
odom,1.124674,-0.607137,-0.267371,0.963594,3
odom,1.124570,-0.607236,-0.341525,0.939873,3
odom,1.150602,-0.633470,-0.423093,0.906086,3
odom,1.187568,-0.686135,-0.496700,0.867922,3
odom,1.223291,-0.759297,-0.560665,0.828043,3
odom,1.250620,-0.844047,-0.614965,0.788554,3
odom,1.267605,-0.935426,-0.662036,0.749472,3
