frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID


map,0.602058,-11.639813,0.744812,0.667275,2
map,0.596869,-11.592708,0.748992,0.662579,2
map,0.593229,-11.567974,0.763862,0.645380,2
map,0.588523,-11.543421,0.779420,0.626501,2
map,0.582484,-11.519161,0.794613,0.607116,2
map,0.575385,-11.495191,0.804813,0.593529,2
map,0.567712,-11.471396,0.809799,0.586707,2
map,0.559808,-11.447680,0.814017,0.580841,2
map,0.551451,-11.424117,0.819113,0.573632,2
map,0.542714,-11.400694,0.822445,0.568845,2
map,0.533809,-11.377334,0.825197,0.564846,2
map,0.524619,-11.354084,0.826823,0.562463,2
map,0.515446,-11.330828,0.827640,0.561260,2
map,0.506120,-11.307632,0.828781,0.559573,2
map,0.496758,-11.284451,0.830047,0.557694,2
map,0.487223,-11.261341,0.831499,0.555526,2
map,0.477619,-11.238259,0.832557,0.553940,2
map,0.467908,-11.215222,0.833156,0.553038,2
map,0.458204,-11.192183,0.833696,0.552223,2
map,0.448403,-11.169185,0.834387,0.551179,2
map,0.438584,-11.146194,0.835157,0.550012,2
map,0.428654,-11.123250,0.836202,0.548422,2
map,0.418660,-11.100334,0.836597,0.547819,2
map,0.408665,-11.077419,0.836953,0.547275,2
map,0.398612,-11.054530,0.837399,0.546592,2
map,0.388541,-11.031648,0.837913,0.545803,2
map,0.378402,-11.008797,0.838346,0.545139,2
map,0.368259,-10.985947,0.838617,0.544722,2
map,0.358074,-10.963115,0.838889,0.544303,2
map,0.347885,-10.940286,0.839210,0.543808,2
map,0.337647,-10.917479,0.839592,0.543218,2
map,0.327394,-10.894677,0.839898,0.542744,2
map,0.317104,-10.871893,0.840099,0.542434,2
map,0.306817,-10.849108,0.840310,0.542107,2
map,0.296492,-10.826340,0.840754,0.541417,2
map,0.286131,-10.803588,0.841055,0.540949,2
map,0.275754,-10.780843,0.841287,0.540589,2
map,0.265354,-10.758108,0.841435,0.540359,2
map,0.254953,-10.735375,0.841616,0.540077,2
map,0.244523,-10.712655,0.841833,0.539738,2
map,0.234085,-10.689938,0.842066,0.539374,2
map,0.223615,-10.667236,0.842241,0.539101,2
map,0.213148,-10.644533,0.842366,0.538906,2
map,0.202657,-10.621840,0.842524,0.538660,2
map,0.192163,-10.599150,0.842707,0.538372,2
map,0.181641,-10.576471,0.843121,0.537723,2
map,0.171078,-10.553813,0.843705,0.536808,2
map,0.160458,-10.531180,0.844498,0.535558,2
map,0.149760,-10.508585,0.845656,0.533728,2
map,0.138944,-10.486046,0.846729,0.532025,2
map,0.128065,-10.463537,0.848096,0.529843,2
map,0.117018,-10.441111,0.850536,0.525917,2
map,0.105724,-10.418807,0.852722,0.522365,2
map,0.094304,-10.396567,0.854549,0.519372,2
map,0.082699,-10.374424,0.857200,0.514984,2
map,0.070826,-10.352424,0.861222,0.508229,2
map,0.058530,-10.330656,0.865680,0.500598,2
map,0.045886,-10.309090,0.868718,0.495307,2
map,0.033063,-10.287628,0.872090,0.489346,2
map,0.019833,-10.266416,0.876736,0.480971,2
map,0.006198,-10.245462,0.881559,0.472074,2
map,-0.007880,-10.224802,0.886127,0.463443,2
