frame,footprint_x,footprint_y,footprint_z,ID
odom,0.278291,-0.000373,0.000000,0
odom,0.257520,0.114895,0.000000,0
odom,0.198033,0.204195,0.000000,0
odom,0.108901,0.263933,0.000000,0
odom,0.003692,0.285014,0.000000,0
odom,-0.121575,0.264257,0.000000,0
odom,-0.210875,0.204770,0.000000,0
odom,-0.270613,0.115638,0.000000,0
odom,-0.291694,0.010429,0.000000,0
odom,-0.270937,-0.114838,0.000000,0
odom,-0.211451,-0.204138,0.000000,0
odom,-0.122318,-0.263876,0.000000,0
odom,-0.017110,-0.284957,0.000000,0
odom,0.108158,-0.264200,0.000000,0
odom,0.197458,-0.204713,0.000000,0
odom,0.257196,-0.115581,0.000000,0

odom,0.278285,-0.000368,0.000000,1
odom,0.257512,0.114899,0.000000,1
odom,0.198023,0.204198,0.000000,1
odom,0.108890,0.263935,0.000000,1
odom,0.003681,0.285014,0.000000,1
odom,-0.121586,0.264255,0.000000,1
odom,-0.210885,0.204767,0.000000,1
odom,-0.270621,0.115634,0.000000,1
odom,-0.291701,0.010425,0.000000,1
odom,-0.270942,-0.114842,0.000000,1
odom,-0.211454,-0.204141,0.000000,1
odom,-0.122320,-0.263878,0.000000,1
odom,-0.017112,-0.284957,0.000000,1
odom,0.108155,-0.264199,0.000000,1
odom,0.197455,-0.204710,0.000000,1
odom,0.257191,-0.115577,0.000000,1

odom,0.278233,-0.000542,0.000000,2
odom,0.257531,0.114737,0.000000,2
odom,0.198097,0.204073,0.000000,2
odom,0.109000,0.263864,0.000000,2
odom,0.003804,0.285008,0.000000,2
odom,-0.121475,0.264326,0.000000,2
odom,-0.210811,0.204892,0.000000,2
odom,-0.270602,0.115795,0.000000,2
odom,-0.291746,0.010599,0.000000,2
odom,-0.271064,-0.114680,0.000000,2
odom,-0.211630,-0.204016,0.000000,2
odom,-0.122533,-0.263807,0.000000,2
odom,-0.017337,-0.284951,0.000000,2
odom,0.107942,-0.264269,0.000000,2
odom,0.197278,-0.204835,0.000000,2
odom,0.257069,-0.115738,0.000000,2

odom,0.277983,-0.004761,0.000000,3
odom,0.258991,0.110813,0.000000,3
odom,0.200886,0.201019,0.000000,3
odom,0.112685,0.262123,0.000000,3
odom,0.007813,0.284822,0.000000,3
odom,-0.117759,0.265997,0.000000,3
odom,-0.207965,0.207893,0.000000,3
odom,-0.269069,0.119691,0.000000,3
odom,-0.291768,0.014820,0.000000,3
odom,-0.272943,-0.110752,0.000000,3
odom,-0.214839,-0.200958,0.000000,3
odom,-0.126637,-0.262062,0.000000,3
odom,-0.021766,-0.284761,0.000000,3
odom,0.103806,-0.265937,0.000000,3
odom,0.194012,-0.207832,0.000000,3
odom,0.255116,-0.119631,0.000000,3

odom,0.277352,-0.013758,0.000000,4
odom,0.262023,0.102359,0.000000,4
odom,0.206800,0.194357,0.000000,4
odom,0.120574,0.258219,0.000000,4
odom,0.016473,0.284223,0.000000,4
odom,-0.109631,0.269378,0.000000,4
odom,-0.201630,0.214155,0.000000,4
odom,-0.265492,0.127929,0.000000,4
odom,-0.291496,0.023828,0.000000,4
odom,-0.276651,-0.102277,0.000000,4
odom,-0.221428,-0.194275,0.000000,4
odom,-0.135202,-0.258137,0.000000,4
odom,-0.031101,-0.284141,0.000000,4
odom,0.095004,-0.269296,0.000000,4
odom,0.187002,-0.214073,0.000000,4
odom,0.250864,-0.127847,0.000000,4

odom,0.276158,-0.026794,0.000000,5
odom,0.266176,0.089903,0.000000,5
odom,0.215235,0.184340,0.000000,5
odom,0.132032,0.252093,0.000000,5
odom,0.029235,0.282849,0.000000,5
odom,-0.097419,0.273809,0.000000,5
odom,-0.191855,0.222867,0.000000,5
odom,-0.259608,0.139665,0.000000,5
odom,-0.290364,0.036867,0.000000,5
odom,-0.281324,-0.089786,0.000000,5
odom,-0.230383,-0.184222,0.000000,5
odom,-0.147180,-0.251976,0.000000,5
odom,-0.044382,-0.282731,0.000000,5
odom,0.082271,-0.273691,0.000000,5
odom,0.176707,-0.222750,0.000000,5
odom,0.244460,-0.139547,0.000000,5

odom,0.274263,-0.041132,0.000000,6
odom,0.270213,0.075922,0.000000,6
odom,0.224128,0.172821,0.000000,6
odom,0.144469,0.244707,0.000000,6
odom,0.043364,0.280637,0.000000,6
odom,-0.083585,0.278033,0.000000,6
odom,-0.180483,0.231948,0.000000,6
odom,-0.252370,0.152289,0.000000,6
odom,-0.288300,0.051184,0.000000,6
odom,-0.285696,-0.075765,0.000000,6
odom,-0.239611,-0.172664,0.000000,6
odom,-0.159952,-0.244550,0.000000,6
odom,-0.058846,-0.280480,0.000000,6
odom,0.068102,-0.277876,0.000000,6
odom,0.165001,-0.231791,0.000000,6
odom,0.236887,-0.152132,0.000000,6

odom,0.271996,-0.055503,0.000000,7
odom,0.273921,0.061605,0.000000,7
odom,0.232838,0.160728,0.000000,7
odom,0.156949,0.236584,0.000000,7
odom,0.057808,0.277624,0.000000,7
odom,-0.069109,0.281498,0.000000,7
odom,-0.168232,0.240414,0.000000,7
odom,-0.244087,0.164525,0.000000,7
odom,-0.285127,0.065385,0.000000,7
odom,-0.289001,-0.061532,0.000000,7
odom,-0.247918,-0.160655,0.000000,7
odom,-0.172029,-0.236510,0.000000,7
odom,-0.072888,-0.277550,0.000000,7
odom,0.054028,-0.281424,0.000000,7
odom,0.153151,-0.240341,0.000000,7
odom,0.229007,-0.164452,0.000000,7

odom,0.273703,-0.071103,0.000000,8
odom,0.281714,0.045747,0.000000,8
odom,0.245839,0.146871,0.000000,8
odom,0.173996,0.226570,0.000000,8
odom,0.077123,0.272708,0.000000,8
odom,-0.049421,0.283175,0.000000,8
odom,-0.150545,0.247300,0.000000,8
odom,-0.230244,0.175457,0.000000,8
odom,-0.276382,0.078583,0.000000,8
odom,-0.286849,-0.047960,0.000000,8
odom,-0.250974,-0.149085,0.000000,8
odom,-0.179131,-0.228783,0.000000,8
odom,-0.082257,-0.274921,0.000000,8
odom,0.044286,-0.285388,0.000000,8
odom,0.145411,-0.249513,0.000000,8
odom,0.225109,-0.177670,0.000000,8

odom,0.279174,-0.087919,0.000000,9
odom,0.293197,0.028362,0.000000,9
odom,0.262582,0.131202,0.000000,9
odom,0.194942,0.214497,0.000000,9
odom,0.100576,0.265568,0.000000,9
odom,-0.025260,0.282543,0.000000,9
odom,-0.128099,0.251928,0.000000,9
odom,-0.211394,0.184289,0.000000,9
odom,-0.262465,0.089922,0.000000,9
