cmd_vel_lin_x,cmd_vel_ang_z
0.000000,0.000000
0.053772,-0.279434
0.104419,-0.369525
0.103030,-0.515258
0.095337,-0.515075
0.086394,-0.513556
0.077792,-0.513732
0.059592,-0.515455
0.051379,-0.514224
0.030477,-0.513003
-0.007160,-0.512985
-0.001891,-0.516988
-0.004583,-0.515105
-0.003684,-0.513098
-0.007300,-0.512017
-0.003037,-0.514913
-0.005832,-0.513115
-0.002214,-0.513513
-0.006096,-0.514293
-0.002457,-0.513133
-0.006689,-0.519508
-0.008096,-0.518014
-0.010451,-0.515972
-0.008362,-0.514521
-0.014094,-0.512858
-0.011275,-0.514261
-0.012927,-0.517466
-0.015165,-0.514182
-0.003090,-0.514508
-0.004957,-0.515618
-0.004681,-0.512126
-0.011031,-0.515218
-0.021603,-0.513377
-0.010714,-0.514552
-0.008122,-0.515812
-0.007951,-0.512252
-0.002910,-0.511728
-0.011487,-0.518589
-0.005157,-0.514880
-0.003438,-0.517728
-0.017662,-0.514053
-0.018947,-0.510775
-0.014456,-0.514608
-0.009197,-0.512712
-0.019348,-0.511917
-0.005603,-0.511705
-0.010720,-0.519154
-0.002038,-0.514229
-0.004594,-0.511309
-0.017571,-0.511769
-0.002147,-0.508631
-0.020279,-0.510522
-0.006295,-0.521503
-0.005901,-0.507979
-0.001088,-0.517891
-0.000976,-0.515094
-0.010801,-0.511108
-0.005535,-0.517948
0.139825,-0.510556
0.056899,-0.512613
0.062732,-0.513208
0.124170,-0.507611
0.139036,-0.513045
0.234598,-0.484976
0.185532,-0.523661
0.175772,-0.534949
0.290888,-0.483033
0.294865,-0.516666
0.357797,-0.532530
0.395289,-0.462764
0.426250,-0.354616
0.442717,-0.353532
0.473116,-0.197048
0.479451,-0.175155
0.497028,-0.102819
0.500000,0.050786
0.500000,0.120847
0.500000,0.214005
0.500000,0.353536
0.500000,0.138545
0.500000,0.375087
0.479088,0.507828
0.500000,0.288524
0.459540,0.534427
0.500000,0.499897
0.500000,0.499101
0.462095,0.531637
0.468686,0.513708
0.466531,0.514867
0.494081,0.501524
0.497510,0.508803
0.500000,0.409157
0.500000,0.233011
0.500000,0.253975
0.495738,0.483594
0.500000,0.502954
0.500000,0.503189
0.500000,0.501978
0.500000,0.502212
0.500000,0.502092
0.500000,0.470588
0.500000,0.392538
0.500000,0.236768
0.500000,0.214068
0.500000,0.189251
0.500000,0.229912
0.500000,0.027883
0.478333,-0.141081
0.500000,-0.084016
0.500000,-0.105986
0.492231,-0.365693
0.500000,-0.453886
0.500000,-0.309112
0.500000,-0.443559
0.500000,-0.310702
0.491921,-0.508596
0.499288,-0.505400
0.500000,-0.504774
0.500000,-0.503448
0.500000,-0.502949
0.500000,-0.501792
0.500000,-0.502266
0.500000,-0.501604
0.500000,-0.503232
0.500000,-0.500617
0.500000,-0.404615
0.500000,-0.322776
0.500000,-0.352033
0.500000,-0.179981
0.500000,-0.061510
0.500000,-0.095828
0.500000,0.069732
0.500000,0.194760
0.500000,0.359064
0.500000,0.408637
0.500000,0.405309
0.500000,0.400062
0.500000,0.354042
0.500000,0.320075
0.500000,0.168492
0.500000,0.023279
0.500000,-0.115527
0.500000,-0.269356
0.500000,-0.398970
0.500000,-0.375358
0.500000,-0.502002
0.500000,-0.381020
0.500000,-0.463553
0.500000,-0.345991
0.500000,-0.401030
0.500000,-0.372384
0.500000,-0.373574
0.500000,-0.304945
0.500000,-0.144929
0.500000,-0.244648
0.500000,-0.218156
0.500000,-0.053882
0.500000,-0.098018
0.500000,0.093943
0.500000,-0.096312
0.500000,0.118537
0.500000,0.206469
0.431960,-0.113812
0.500000,-0.457014
0.321448,-0.541745
0.317743,-0.456148
