Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
Somewhat disagree,Strongly disagree9,Male,Bosnian,Bosnia & Herzegovina,High School,Srednja elektrotehnička škola Sarajevo,Engineering,,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agree,Strongly disagree9,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly agree,Strongly disagree9,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree
6,Somewhat disagreeSomewhat disagree,Female,Bosniak,Bosnia & Herzegovina,High School,,Engineering,,Student at Faculty of Electrical Engineering Sarajevo,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
7,Somewhat disagree0,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
8,Strongly disagree9,Female,BiH,BiH,High School,,Engineering,,Nemam posao,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Strongly agree
9,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia & Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
Strongly disagreeSomewhat agree,Somewhat disagreeStrongly disagree,Female,Bosniak,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
Strongly disagreeStrongly agree,Somewhat disagreeStrongly disagree,Other,Bošnjak,Bosna i Hercegovina,Other,Elektrotehnički fakultet Sarajevo/Računarstvo i informatika ,Engineering,,N/A,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly disagree6,Somewhat disagree7,Male,BOSNIAN,Bosnia and Herzegovina,Master Degree,,Engineering,,Software Engineer,Yes,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree
Strongly disagree7,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegovina,High School,,Other,N/A,Unemployed (student),No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
Strongly disagree9,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,programmer,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat disagree0,Somewhat disagreeStrongly disagree,Male,BIH,Bosnia and Herzegovina,High School,,Engineering,,Computer Science and Informatics,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
