Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,Q6
Somewhat agree,20,Male,Bosnian,Bosnia and Herzegovina,High School,Computer Science & Engineering,Engineering,,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,Neutral
6,20,Male,Bosnian,B,High School,,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,,Strongly agree
7,20,Female,BiH,BiH,High School,,Engineering,,20,No,No,No,Yes,Desk_2,Bookshelf_1,Moving chair_2,Neutral,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Neutral,Neutral,,Somewhat disagree
10,20,Male,Bosniak,Bosnia and Herzegowina,High School,,Engineering,,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Somewhat agree
13,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,I'm a Student of Faculty of Electrical Engineering,Yes,No,Yes,Yes,Chair_2,Bookshelf_1,Moving human_4,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree
15,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree
18,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Other,N/A,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Neutral,,Strongly agree
21,20,Male,Bosnian,Bosnia & Herzegovina,High School,Trenutno pohađam Elektrotehnučki fakultet u Sarajevu.,Other,Student,Nezaposlen,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,Neutral
22,21,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat agree
23,20,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree
