ID,gazebo_label,label,c_map_x,c_map_y,d_map_x,d_map_y,movability,openability,mass_centre,orientation,under_table,x_for_text_viz,y_for_text_viz
1,chair_1,chair,-9.6,5.64,0.4,0.4,1,0,bl,r,n,-9.6,5.64
2,chair_2,chair,-2.37,3.83,0.4,0.4,1,0,tl,b,y,-2.37,3.83
3,chair_3,chair,-2.37,6.91,0.4,0.4,1,0,tl,b,y,-2.37,7.01
4,chair_4,chair,-2.72,3.48,0.4,0.4,1,0,bl,r,y,-3.02,3.48
5,chair_5,chair,-2.72,6.56,0.4,0.4,1,0,bl,r,y,-3.02,6.44
6,chair_6,chair,-2.02,3.48,0.4,0.4,1,0,tr,l,y,-1.82,3.28
7,chair_7,chair,-2.02,6.56,0.4,0.4,1,0,tr,l,y,-1.82,6.26
8,chair_8,chair,-8.45,5.64,0.4,0.4,1,0,tr,l,y,-8.05,5.64
9,chair_9,chair,-5.72,3.52,0.4,0.4,1,0,tr,l,na,-5.72,3.52
10,chair_10,chair,-2.37,3.13,0.4,0.4,1,0,br,t,y,-2.37,2.93
11,chair_11,chair,-2.37,6.21,0.4,0.4,1,0,br,t,y,-2.37,6.01
12,table_1,table,-2.37,3.48,0.8,0.8,0,0,c,na,na,-2.37,3.48
13,table_2,table,-2.37,6.56,0.8,0.8,0,0,c,na,na,-2.37,6.44
14,table_3,table,-8.85,5.64,0.8,0.8,0,0,c,na,na,-8.85,5.64
15,bookshelf_1,bookshelf,-8.05,1.58,2,0.5,0,0,b,na,na,-8.05,1.58
16,bookshelf_2,bookshelf,-4.24,5.09,0.4,1.9,0,0,l,na,na,-4.24,5.09
17,bookshelf_3,bookshelf,-4.24,8.54,0.4,1.9,0,0,l,na,na,-4.24,8.54
18,bookshelf_4,bookshelf,-5.72,8.54,0.4,1.9,0,0,l,na,na,-5.72,8.54
19,bookshelf_5,bookshelf,-5.72,5.09,0.4,1.9,0,0,l,na,na,-5.72,5.09
20,bookshelf_6,bookshelf,-7.15,5.09,0.4,1.9,0,0,l,na,na,-7.15,5.09
21,bookshelf_7,bookshelf,-7.15,8.54,0.4,1.9,0,0,l,na,na,-7.15,8.54
22,bookshelf_8,bookshelf,-2.05,1.58,2,0.5,0,0,l,na,na,-2.05,1.58
23,bookshelf_9,bookshelf,-1.15,5.09,0.4,1.9,0,0,l,na,na,-1.15,5.09
24,bookshelf_10,bookshelf,-1.15,8.54,0.4,1.9,0,0,l,na,na,-1.15,8.54
25,bookshelf_11,bookshelf,-5.05,1.58,2,0.5,0,0,l,na,na,-5.05,1.58
26,wall_1,wall,-5.29,0.42,9.65,0.15,0,0,c,na,na,-5.29,0.42
27,wall_2,wall,-0.56,5.62,0.15,10.55,0,0,c,na,na,-0.56,6.12
28,wall_3,wall,-5.29,10.82,9.65,0.15,0,0,c,na,na,-5.29,10.62
29,wall_4,wall,-10.04,5.62,0.15,10.55,0,0,c,na,na,-10.04,6.12
