Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,I could see the reasons behind choosing this method (textual) for the explanation.,The explanation describes the robot's actions/behaviors efficiently.,"With the explanation provided, I'm able to predict the behavior of the robot.",The explanation describes the robot's actions and situation completely​​​​​.,Total time
4,20,Male,Bosnian,Bosnia and Herzegovina,High School,Computer Science & Engineering,Engineering,na,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,3,5,4,3,702.04
6,20,Male,Bosnian,B,High School,na,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,3,2,4,5,5,4,4,1064.17
7,20,Female,BiH,BiH,High School,na,Engineering,na,na,No,No,No,Yes,Desk_2,Bookshelf_1,Moving chair_2,3,3,2,5,4,2,3,3,3,524.03
10,20,Male,Bosniak,Bosnia and Herzegowina,High School,na,Engineering,na,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,5,4,5,5,4,771
13,21,Male,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,I'm a Student of Faculty of Electrical Engineering,Yes,No,Yes,Yes,Chair_2,Bookshelf_1,Moving human_4,5,5,1,5,5,4,5,5,5,942.93
15,20,Female,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,4,5,4,5,1497.63
16,22,Male,Bosnian,Bosnia and Herzegovina,High School,na,Information Services,na,I do not have a job title,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,4,5,5,5,723.01
18,20,Male,Bosniak,Bosnia and Herzegovina,High School,na,Other,N/A,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,3,3,4,5,3,2,3,537.23
21,20,Male,Bosnian,Bosnia & Herzegovina,High School,Trenutno pohađam Elektrotehnučki fakultet u Sarajevu.,Other,Student,Nezaposlen,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,3,3,5,4,3,4,5,4,2029.03
22,21,Female,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,4,4,5,5,5,1167.86
