Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,The explanation describes the robot's actions/behaviors efficiently.,The explanation describes the robot's actions and situation completely​​​​​.,,I could see the reasons behind choosing this method (textual) for the explanation.
4,20,Male,Bosnian,Bosnia and Herzegovina,High School,Computer Science & Engineering,Engineering,,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,3,,3
6,20,Male,Bosnian,B,High School,,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,3,2,4,5,4,,5
7,20,Female,BiH,BiH,High School,,Engineering,,20,No,No,No,Yes,Desk_2,Bookshelf_1,Moving chair_2,3,3,2,5,4,3,3,,2
10,20,Male,Bosniak,Bosnia and Herzegowina,High School,,Engineering,,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,5,5,4,,4
13,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,I'm a Student of Faculty of Electrical Engineering,Yes,No,Yes,Yes,Chair_2,Bookshelf_1,Moving human_4,5,5,1,5,5,5,5,,4
15,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,4
18,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Other,N/A,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,3,3,4,3,3,,5
21,20,Male,Bosnian,Bosnia & Herzegovina,High School,Trenutno pohađam Elektrotehnučki fakultet u Sarajevu.,Other,Student,Nezaposlen,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,3,3,5,4,4,4,,3
22,21,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,4,5,5,,4
23,20,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,5,5,5,5,,4
24,21,Male,bosnian,Bosnia and Herzegovina,High School,,Engineering,,IT,No,No,No,Yes,Desk_2,Bookshelf_1,Rerouting,2,3,3,2,4,3,4,,4
26,22,Female,Bosnia & Herzegovina,Bosnia & Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,4,5,5,,5
27,20,Male,Bosniak,Bosnia and Herzegovina,High School,Electrical technician of computer and informatics,Other,N/A,Bachelor student ETF Sarajevo ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,4,4,5,4,,4
28,20,Male,Bosnian,Bosnia And Hercegovina,High School,Elektrotehničar računarske tehnike i automatike,Engineering,,Unemployed ,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,5,4,4,3,4,5,,4
29,22,Male,BiH,BiH,High School,,Engineering,,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,3,4,5,4,,5
31,21,Female,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student of computer science and informatics,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,3,3,3,4,2,,5
32,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,4,3,4,,5
33,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A (student),No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,5,5,4,5,3,,3
35,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,5,5,5,5,4,,5
36,19,Male,BiH,Bosnia and Herzegovina,High School,,Other,Student,Studying at ETF Sarajevo,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,3,4,4,5,5,4,,5
