Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,Q8
Somewhat disagree,21,Female,Bosniak,Bosnia and Herzegovina ,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,Strongly agree
Somewhat agree,20,Female,Bosniak,Bosnia and Hercegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,,Somewhat disagree
Strongly agree,21,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student and devops intern,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,,Strongly agree
8,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,N/A,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
9,22,Male,Bosnia & Herzegovina,Bosnia & Herzegovina,High School,,Other,computer science and informatics,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Strongly agree
10,23,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,Student,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,,Somewhat agree
12,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
14,20,Female,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
15,21,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Neutral
16,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Computer science student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,,Somewhat agree
