Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,Q8
Somewhat disagree,19,Male,Bosnian,Bosnia & Herzegovina,High School,Srednja elektrotehnička škola Sarajevo,Engineering,,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
Somewhat agree,19,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
Strongly agree,19,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Strongly agree
6,22,Female,Bosniak,Bosnia & Herzegovina,High School,,Engineering,,Student at Faculty of Electrical Engineering Sarajevo,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
7,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree
8,19,Female,BiH,BiH,High School,,Engineering,,Nemam posao,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Neutral
9,21,Male,Bosnian,Bosnia & Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat agree
14,21,Female,Bosniak,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
15,21,Other,Bošnjak,Bosna i Hercegovina,Other,Elektrotehnički fakultet Sarajevo/Računarstvo i informatika ,Engineering,,N/A,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
16,27,Male,BOSNIAN,Bosnia and Herzegovina,Master Degree,,Engineering,,Software Engineer,Yes,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
17,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Other,N/A,Unemployed (student),No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,Strongly agree
19,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,programmer,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
20,21,Male,BIH,Bosnia and Herzegovina,High School,,Engineering,,Computer Science and Informatics,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat agree
21,21,Male,Bosnian,Bosnia and Herzegovina,High School,Mathematics and Informatics ,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,Strongly agree
23,21,Male,Bosnian and Herzegovinian,Bosnia and Herzegovina,High School,Currently enrolled in BA in Computer Science.,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,Strongly agree
26,19,Male,Bosniak,Bosnia and Herzegovina,High School,"High School name : ""Prva gimnazija Sarajevo"", language major",Engineering,,Electrical engineering,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,Strongly agree
28,23,Female,Indian,Germany ,Bachelor Degree,Psychology ,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Neutral
32,27,Male,Bosnia and Herzegovina ,Bosnia and Herzegovina ,Master Degree,,Information Services,,Project Manager ,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
34,27,Male,Bosnian/Croatian,Germany,Master Degree,"M.Sc. Electrical Engineering, Automation and Safety, Automation and Control Engineering",Engineering,,Scientific Researcher at University,Yes,No,No,Yes,Chair_2,Human_4,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
35,24,Female,Indian,United Kingdom ,Master Degree,,Psychology,,Assistant psychologist ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
36,29,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,,Engineering,,Quality Assurance Engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Somewhat agree
