Response ID,Age,I consider myself an extrovert.,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I consider myself a technology enthusiast.,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,
Somewhat disagree,37,Strongly disagree,Male,Bosnian,Bosnia,Doctorate,,Engineering,,Lecturer ,No,No,No,Somewhat agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,264.87
6,29,Somewhat agree,Male,British ,UK,Doctorate,,AI/Robotics,,research scientist on intelligent robotics,Yes,Yes,No,Strongly agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Neutral,Neutral,293.59
7,25,Somewhat disagree,Male,Indian,Germany,Bachelor Degree,Computer Science,AI/Robotics,,Embedded AI Software developer,Yes,No,No,Neutral,Yes,chair_8,chair_9,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,227.77
8,26,Neutral,Male,Bosnian,Bosnia and Herzegowina,Bachelor Degree,,Engineering,,Telecommunications,No,No,No,Neutral,Yes,table_3,chair_8,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3298.82
9,24,Somewhat agree,Female,Indian,Germany,Bachelor Degree,Psychology,Other,N/A,NA,No,Yes,No,Somewhat agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,252.57
11,22,Somewhat agree,Female,German,Germany,High School,,Other,Science,Biology and chemistry studies,Yes,No,No,Neutral,Yes,table_3,chair_9,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,908.49
12,21,Somewhat agree,Female,BiH,BiH,High School,Currently studying third year Bachelor Degree.,Engineering,,Automatics engineer,Yes,Yes,No,Strongly agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1099
13,21,Strongly agree,Female,German,Germany,High School,,Education,,Teaching,Yes,Yes,No,Somewhat disagree,Yes,chair_8,chair_9,Neutral,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,197.36
14,29,Neutral,Male,Indian,germany,Bachelor Degree,,Education,,student,Yes,Yes,No,Somewhat agree,Yes,chair_8,chair_9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,362.62
15,28,Somewhat agree,Male,Bosniak,Bosnia & Herzegovina,Bachelor Degree,Completed bachelor degree in Automatic control and electronics. Currently pursuing masters in Computer science.,Information Services,,DevOps engineer,Yes,No,No,Somewhat agree,Yes,chair_8,chair_9,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Neutral,514.43
