Response ID,Age,I consider myself an extrovert.,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I consider myself a technology enthusiast.,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,The explanation describes the robot's actions/behaviors efficiently.,The explanation describes the robot's actions and situation completely​​​​​.,The explanation helps me know when I should trust and not trust the navigating robot.,Total time
2,25,2,Male,German / Bosnian,Germany,Master Degree,,Healthcare,,Physician,Yes,No,No,2,Yes,chair_8,chair_9,5,3,2,5,5,4,2,5,721.08
5,27,3,Male,Bosnian /Croatian,Germany,Master Degree,"M.Sc., Electrical Engineering, Automation and Safety, Automation and Control Engineering",Engineering,,Scientific Researcher at University,Yes,No,No,4,Yes,chair_8,chair_9,5,5,5,5,5,5,5,5,221.55
6,26,3,Female,BiH,BiH,Master Degree,,Engineering,,Project Manager,No,No,No,4,Yes,chair_8,chair_9,5,5,5,5,5,5,5,5,594.11
7,36,1,Female,Egyptian ,Germany ,Master Degree,,Engineering,,Process Mining architect ,No,Yes,No,1,Yes,chair_8,chair_9,2,2,1,1,3,2,3,3,642.46
9,40,1,Male,French,Germany ,Doctorate,,Engineering,,Thermal architecte,Yes,No,No,5,Yes,chair_8,chair_9,2,2,2,4,3,3,2,2,241.03
10,35,5,Male,B&H,Bosnia and Herzegovina,Master Degree,Industrial Automation Engineer,Engineering,,CEO,Yes,No,No,3,Yes,table_3,chair_8,3,3,3,4,4,3,3,3,412.42
11,27,4,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,Master Degree,,Information Services,,Project Manager,Yes,No,No,5,Yes,chair_8,chair_9,4,2,5,5,3,3,4,3,388.52
18,24,4,Female,Bosniak,Bosnia and Herzegovina,Master Degree,"Master of Electrical Engineering, Department of Computer Science and Informatics",Engineering,,Software Engineer,No,No,No,4,Yes,chair_8,chair_9,4,4,4,4,4,4,4,5,814.02
19,24,2,Male,Indian,Germany,Bachelor Degree,,Other,Student,Student ,No,No,No,3,Yes,chair_8,chair_9,3,3,3,3,3,3,3,3,256.06
22,23,1,Female,Indian ,Germany ,Bachelor Degree,,Other,N/A,N/A,No,No,No,5,Yes,chair_8,chair_9,4,2,2,4,2,2,1,3,509.01
