extroversion,visual_time,visual_N,textual_time,textual_N,N_objects,N_words,N_deviations
9,0.143712997436523,1,0.000283241271973,1,1,4,0
9,0.230154037475586,2,0.000304937362671,2,1,4,0
9,0.210050821304321,3,0.000319480895996,3,1,4,0
9,0.323743104934692,4,0.000259399414063,4,1,4,0
9,0.218554735183716,5,0.000348567962646,5,1,4,0
9,0.35297703742981,6,0.000276803970337,6,2,6,0
9,0.208746194839478,7,0.00026273727417,7,1,4,0
9,0.218467235565186,8,0.000264883041382,8,1,4,0
9,0.401096820831299,9,0.000283718109131,9,1,4,0
9,0.200843811035156,10,0.000288009643555,10,1,4,0
9,0.22221040725708,11,0.000303745269775,11,1,4,0
9,0.224992990493774,12,0.000283479690552,12,1,4,0
9,0.304642200469971,13,0.000266790390015,13,1,4,0
9,1.65956234931946,14,1.47819519042969E-05,14,4,4,1
9,0.490705490112305,15,1.9073486328125E-05,15,4,4,2
9,0.233829021453857,16,1.93119049072266E-05,16,1,4,2
9,0.234270572662354,17,2.40802764892578E-05,17,1,4,2
9,0.226166725158691,18,1.81198120117187E-05,18,1,4,2
9,0.223975419998169,19,1.81198120117187E-05,19,1,4,2
9,0.233239889144897,20,0.000418424606323,20,5,9,2
9,0.220803022384644,21,0.000371932983398,21,5,9,2
9,2.50568795204163,22,1.88350677490234E-05,22,1,4,2
9,0.26699948310852,23,1.71661376953125E-05,23,1,4,2
9,0.225468635559082,24,1.97887420654297E-05,24,1,4,2
9,0.290926933288574,25,1.54972076416016E-05,25,1,4,2
9,0.271490812301636,26,1.97887420654297E-05,26,1,4,2
9,0.251068830490112,27,3.67164611816406E-05,27,1,4,2
9,0.395319938659668,28,0.000344276428223,28,4,8,2
9,0.215068817138672,29,0.00044322013855,29,4,8,2
9,0.196515798568726,30,0.000340461730957,30,4,8,2
9,0.188023328781128,31,0.000419616699219,31,4,8,2
9,0.236120462417603,32,0.000301599502563,32,2,6,2
9,0.229794263839722,33,0.00031304359436,33,3,7,2
9,0.659924983978272,34,0.000390529632568,34,3,7,2
9,0.223570108413696,35,0.000293970108032,35,3,7,2
9,0.183210849761963,36,0.000905752182007,36,3,7,2
9,0.19034743309021,37,0.000297546386719,36,6,0,2
9,0.177186250686646,38,0.000467777252197,36,5,0,2
9,0.186243772506714,39,0.000428676605225,36,5,0,2
9,0.165595293045044,40,0.000374555587769,36,5,0,2
9,0.175273895263672,41,0.000771999359131,36,2,0,2
9,0.193627119064331,42,0.000606536865234,36,2,0,2
9,0.160316705703735,43,0.000336647033691,36,2,0,2
