ID,gazebo_label,label,c_map_x,c_map_y,d_map_x,d_map_y,movability,openability,mass_centre,orientation,under_table,x_for_text_viz,y_for_text_viz
1,chair_1,chair_1,-9.5,4,0.4,0.4,1,0,bl,l,y,-9.5,4
2,chair_2,chair_2,-9.5,7,0.4,0.4,1,0,bl,l,y,-9.5,7
3,chair_3,chair_3,-7,10.2,0.4,0.4,1,0,bl,t,y,-7,10.2
4,chair_4,chair_4,-3,10.2,0.4,0.4,1,0,bl,t,y,-3,10.2
5,chair_5,chair_5,-1,8,0.4,0.4,1,0,bl,r,y,-1,8
6,table_1,table_1,-3.15,4,1.1,1.1,0,0,na,na,na,-3.15,4
7,table_2,table_2,-3.15,1.5,2.5,1.1,0,0,na,na,na,-3.15,1.5
8,table_3,table_3,-8.2,1.5,1.5,0.8,0,0,na,na,na,-8.2,1.5
9,desk_1,desk_1,-9.5,4,0.5,1.85,0,0,na,na,na,-9.5,4
10,desk_2,desk_2,-9.5,7,0.5,1.85,0,0,na,na,na,-9.5,7
11,desk_3,desk_3,-7,10.2,1.85,0.5,0,0,na,na,na,-7,10.2
12,desk_4,desk_4,-3,10.2,1.85,0.5,0,0,na,na,na,-3,10.2
13,desk_5,desk_5,-1,8,0.5,1.85,0,0,na,na,na,-1,8
14,bookshelf_1,bookshelf_1,-7.75,5.5,0.4,5,0,0,na,na,na,-7.75,5.5
15,bookshelf_2,bookshelf_2,-4.5,8.2,3,0.4,0,0,na,na,na,-4.5,8.2
16,bookshelf_3,bookshelf_3,-2.8,7.5,0.4,2.25,0,0,na,na,na,-2.8,7.5
17,vase_1,vase_1,-1,10.2,0.3,0.3,0,0,na,na,na,-1,10.2
18,vase_2,vase_2,-5.8,3.8,0.3,0.3,0,0,na,na,na,-5.8,3.8
19,trash_bin_1,trash_bin_1,-5,10.7,0.2,0.2,0,0,na,na,na,-5,10.7
20,trash_bin_2,trash_bin_2,-1,7,0.2,0.2,0,0,na,na,na,-1,7
21,trash_bin_3,trash_bin_3,-9.5,8.5,0.2,0.2,0,0,na,na,na,-9.5,8.5
22,trash_bin_4,trash_bin_4,-9.5,2.8,0.2,0.2,0,0,na,na,na,-9.5,2.8
23,coffee_machine,coffee_machine,-8.8,1.5,0.3,0.3,0,0,na,na,na,-8.8,1.5
24,door,door,-10.29,10.82,1,0.15,0,0,na,na,na,-10.29,10.82
25,sofa_1,sofa_1,-3,5.5,2.1,1.1,0,0,na,na,na,-3,5.5
26,sofa_2,sofa_2,-1.5,4,1.1,2.1,0,0,na,na,na,-1.5,4
27,sofa_3,sofa_3,-4.8,4,1.1,2.1,0,0,na,na,na,-4.8,4
26,wall_1,wall_1,-5.29,0.42,9.65,0.15,0,0,c,na,na,-5.29,0.42
27,wall_2,wall_2,-0.56,5.62,0.15,10.55,0,0,c,na,na,-0.56,5.62
28,wall_3,wall_3,-5.29,10.82,9.65,0.15,0,0,c,na,na,-5.29,10.82
29,wall_4,wall_4,-10.04,5.62,0.15,10.55,0,0,c,na,na,-10.04,5.62
