ID,gazebo_label,label,c_map_x,c_map_y,d_map_x,d_map_y,movability,openability,mass_centre,orientation,under_table,x_for_text_viz,y_for_text_viz
1,chair_1,chair,-9.6,0.67,0.4,0.4,1,0,bl,r,n,-9.6,0.67
2,chair_2,chair,-9.6,3.52,0.4,0.4,1,0,bl,r,n,-9.6,3.52
3,chair_3,chair,-9.6,6.54,0.4,0.4,1,0,bl,r,n,-9.6,6.54
4,chair_4,chair,-2.72,-0.26,0.4,0.4,1,0,bl,r,y,-3.02,-0.26
5,chair_5,chair,-2.37,0.09,0.4,0.4,1,0,tl,b,y,-2.37,0.49
6,chair_6,chair,-2.37,3.83,0.4,0.4,1,0,tl,b,y,-2.37,3.83
7,chair_7,chair,-2.37,6.91,0.4,0.4,1,0,tl,b,y,-2.37,7.01
8,chair_8,chair,-2.72,3.48,0.4,0.4,1,0,bl,r,y,-3.02,3.68
9,chair_9,chair,-2.72,6.56,0.4,0.4,1,0,bl,r,y,-3.02,6.76
10,chair_10,chair,-2.02,-0.26,0.4,0.4,1,0,tr,l,y,-1.82,-0.26
11,chair_11,chair,-2.02,3.48,0.4,0.4,1,0,tr,l,y,-1.82,3.48
12,chair_12,chair,-2.02,6.56,0.4,0.4,1,0,tr,l,y,-1.82,6.56
13,chair_13,chair,-8.45,0.67,0.4,0.4,1,0,tr,l,y,-8.05,0.67
14,chair_14,chair,-8.45,3.52,0.4,0.4,1,0,tr,l,y,-8.05,3.52
15,chair_15,chair,-8.45,6.54,0.4,0.4,1,0,tr,l,y,-8.05,6.54
16,chair_16,chair,-5.72,3.52,0.4,0.4,1,0,tr,l,na,-5.72,3.52
17,chair_17,chair,-2.37,-0.61,0.4,0.4,1,0,br,t,y,-2.37,-0.81
18,chair_18,chair,-2.37,3.13,0.4,0.4,1,0,br,t,y,-2.37,2.93
19,chair_19,chair,-2.37,6.21,0.4,0.4,1,0,br,t,y,-2.37,6.01
20,table_1,table,-2.37,-0.26,0.8,0.8,0,0,c,na,na,-2.37,-0.26
21,table_2,table,-2.37,3.48,0.8,0.8,0,0,c,na,na,-2.37,3.48
22,table_3,table,-2.37,6.56,0.8,0.8,0,0,c,na,na,-2.37,6.56
23,table_4,table,-8.85,0.67,0.8,0.8,0,0,c,na,na,-8.85,0.67
24,table_5,table,-8.85,3.52,0.8,0.8,0,0,c,na,na,-8.85,3.52
25,table_6,table,-8.85,6.54,0.8,0.8,0,0,c,na,na,-8.85,6.54
26,bookshelf_1,bookshelf,-7.18,-0.27,0.4,0.95,0,0,l,na,na,-7.18,-0.27
27,bookshelf_2,bookshelf,-5.73,-0.35,0.4,0.95,0,0,l,na,na,-5.73,-0.32
28,bookshelf_3,bookshelf,-4.24,-0.35,0.4,0.95,0,0,l,na,na,-4.24,-0.32
29,bookshelf_4,bookshelf,-5.8,-2.22,2,0.5,0,0,b,na,na,-5.8,-2.22
30,bookshelf_5,bookshelf,-4.24,5.09,0.4,1.9,0,0,l,na,na,-4.24,5.07
31,bookshelf_6,bookshelf,-4.24,2.07,0.4,1.9,0,0,l,na,na,-4.24,2.07
32,bookshelf_7,bookshelf,-4.24,8.04,0.4,1.9,0,0,l,na,na,-4.24,8.04
33,bookshelf_8,bookshelf,-5.72,8.04,0.4,1.9,0,0,l,na,na,-5.72,8
34,bookshelf_9,bookshelf,-5.72,5.09,0.4,1.9,0,0,l,na,na,-5.72,5.09
35,bookshelf_10,bookshelf,-5.72,2.07,0.4,1.9,0,0,l,na,na,-5.74,2.07
36,bookshelf_11,bookshelf,-7.15,5.09,0.4,1.9,0,0,l,na,na,-7.15,5.11
37,bookshelf_12,bookshelf,-7.15,2.05,0.4,1.9,0,0,l,na,na,-7.14,2.05
38,bookshelf_13,bookshelf,-7.15,8.04,0.4,1.9,0,0,l,na,na,-7.15,8.08
39,bookshelf_14,bookshelf,-1.15,-0.35,0.4,1.9,0,0,l,na,na,-1.19,-0.37
40,bookshelf_15,bookshelf,-1.15,3.42,0.4,1.9,0,0,l,na,na,-1.15,3.42
41,bookshelf_16,bookshelf,-1.15,7.32,0.4,1.9,0,0,l,na,na,-1.1,7.32
42,wall_1,wall_1,-5.29,-3.78,9.65,0.15,0,0,c,na,na,-5.29,-3.78
43,wall_2,wall_2,-0.56,3.52,0.15,14.65,0,0,c,na,na,-0.56,3.52
44,wall_3,wall_3,-5.29,10.82,9.65,0.15,0,0,c,na,na,-5.29,10.82
45,wall_4,wall_4,-10.04,3.52,0.15,14.65,0,0,c,na,na,-10.04,3.52
