ID,label,cy,cx,dy,dx,cx_map,cy_map,tl_map_x,tl_map_y,tr_map_x,tr_map_y,bl_map_x,bl_map_y,br_map_x,br_map_y,dx_map,dy_map
1,wall_1,23.5,96,2,72.5,0.9,-3.9125,-1.1,-3.7875,2.9,-3.7875,-1.1,-4.0375,2.9,-4.0375,4,0.25
2,wall_2,102.5,170,81,1.5,2.75,-1.9375,2.625,0.0625,2.875,0.0625,2.625,-3.9375,2.875,-3.9375,0.25,4
3,wall_3,182.5,235,1,63.5,4.375,0.0625,2.875,0.1875,5.875,0.1875,2.875,-0.0625,5.875,-0.0625,3,0.25
4,wall_4,102.5,300,81,1.5,6,-1.9375,5.875,0.0625,6.125,0.0625,5.875,-3.9375,6.125,-3.9375,0.25,4
5,wall_5,22.5,355.5,1,54,7.3875,-3.9375,5.8875,-3.8125,8.8875,-3.8125,5.8875,-4.0625,8.8875,-4.0625,3,0.25
6,wall_6,163,411,91.5,1.5,8.775,-0.425,8.65,3.075,8.9,3.075,8.65,-3.925,8.9,-3.925,0.25,7
7,wall_7,303,216.5,1.5,193,3.9125,3.075,-1.0875,3.2,8.9125,3.2,-1.0875,2.95,8.9125,2.95,10,0.25
8,wall_8,163,22.5,141.5,1,-0.9375,-0.425,-1.0625,3.075,-0.8125,3.075,-1.0625,-3.925,-0.8125,-3.925,0.25,7
9,cabinet,196.5,225,11,19.5,4.125,0.4125,3.625,0.7125,4.625,0.7125,3.625,0.1125,4.625,0.1125,1,0.6
10,table,279.5,224,15,28.5,4.1,2.4875,3.4,2.9075,4.8,2.9075,3.4,2.0675,4.8,2.0675,1.4,0.84
